Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201702,February 2017,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4507,,908315,,,0
HS,2017,201702,February 2017,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2965,,669012,,,0
HS,2017,201702,February 2017,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,405,,124181,,,0
HS,2017,201702,February 2017,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1102,,110729,,,0
HS,2017,201702,February 2017,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,4393,,,0
HS,2017,201704,April 2017,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11144,,1622371,,,0
HS,2017,201704,April 2017,6,1,1,Imports,320,Guatemala,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,9460,,,0
HS,2017,201704,April 2017,6,1,1,Imports,320,Guatemala,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,78,,16000,,,0
HS,2017,201704,April 2017,6,1,1,Imports,320,Guatemala,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,408,,113110,,,0
HS,2017,201704,April 2017,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,944,,89728,,,0
HS,2017,201704,April 2017,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,14693,,,0
HS,2017,201704,April 2017,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9632,,1379380,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22273,,3030247,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6533,,1616353,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,25210,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,31080,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,5334,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,104,,21336,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,6420,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,34054,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,112,,4900,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3875,,352831,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,12113,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5336,,406894,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,6319,,,0
HS,2017,201706,June 2017,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5917,,507403,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2892,,406685,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,318,,58636,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,49489,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,314,,22056,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1419,,194573,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,12110,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,233,,30980,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,24813,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,9977,,,0
HS,2017,201703,March 2017,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,381,,4051,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86,,15793,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4454,,3362100,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,105,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,336,,26680,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,941,,110677,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,784,,24039,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,590,,151260,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,632,,85972,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,313,,86000,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,30257,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,251,,33840,,,0
HS,2017,201711,November 2017,6,1,1,Imports,320,Guatemala,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8487,,3926723,,,0
HS,2017,201710,October 2017,6,1,1,Imports,320,Guatemala,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2965,,673119,,,0
HS,2017,201710,October 2017,6,1,1,Imports,320,Guatemala,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,3890,,,0
HS,2017,201710,October 2017,6,1,1,Imports,320,Guatemala,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,8304,,,0
