Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2527,,957725,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,433,,19033,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,93,,16064,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,108,,17066,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,950,,498745,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,143,,43680,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,252,,34200,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,68,,83304,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,3341,,,0
HS,2017,201701,January 2017,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,465,,242292,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5108,,1213089,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,587,,41167,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2261,,620996,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,2493,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,47632,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,164,,179530,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1917,,296971,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51,,12300,,,0
HS,2017,201702,February 2017,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,12000,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4687,,488298,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2936,,283850,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1182,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,29205,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,139,,28139,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,13631,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,291,,17892,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,3380,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,327,,35676,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,560,,34160,,,0
HS,2017,201703,March 2017,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,134,,41183,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7910,,4202616,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1148,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,535,,552391,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,520,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4818,,3053516,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,169,,25844,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,222,,92081,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2076,,246765,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,686,,184482,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,48737,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1747,,344474,,,0
HS,2017,201704,April 2017,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,17348,,,0
HS,2017,201707,July 2017,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1605,,288156,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,299,,16058,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,242,,275550,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,16575,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,159,,7455,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,3016,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,369,,100209,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,186,,19887,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,406,,402275,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,103,,21536,,,0
HS,2017,201710,October 2017,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1849,,862561,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,572,,264035,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9894,,2031496,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4277,,788454,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,54,,2260,,,0
HS,2017,201709,September 2017,6,1,1,Imports,340,Honduras,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,450,,404833,,,0
HS,2017,201707,July 2017,6,1,1,Imports,340,Honduras,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,560,,348482,,,0
HS,2017,201707,July 2017,6,1,1,Imports,340,Honduras,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,4382,,,0
HS,2017,201707,July 2017,6,1,1,Imports,340,Honduras,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,8704,,,0
HS,2017,201707,July 2017,6,1,1,Imports,340,Honduras,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,317,,82394,,,0
