Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1956,,591494,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,686,Senegal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2500,,1604414,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,694,Sierra Leone,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1053,,239960,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,237024,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,276,,89110,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,42572,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1000,,59466,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,328,Guyana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,167,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,624,Guinea-Bissau,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,2000,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,417,Kyrgyzstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,3417,,,0
HS,2017,201712,December 2017,6,1,1,Imports,699,India,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6040,,26895136,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,188,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,18,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,199,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,604,Peru,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,3731,,,0
HS,2017,201712,December 2017,6,1,2,Exports,699,India,,748,Swaziland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,6946,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,7193,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,478,Mauritania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,25633,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,14882,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,21,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,583,FS Micronesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,26,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,30,,,0
HS,2017,201707,July 2017,6,1,1,Imports,699,India,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1311,,7310647,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,405,,476533,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,670,Saint Vincent and the Grenadines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,4120,,,0
HS,2017,201707,July 2017,6,1,1,Imports,699,India,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,770196,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,788,Tunisia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1077,,306689,,,0
HS,2017,201712,December 2017,6,1,1,Imports,699,India,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2817,,11118105,,,0
HS,2017,201712,December 2017,6,1,1,Imports,699,India,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,1264130,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,71,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,15032,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,425,,75514,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,197174,,50822404,,,0
HS,2017,201712,December 2017,6,1,1,Imports,699,India,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,245,,5607004,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2000,,551510,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,12,Algeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2268,,561822,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,24,Angola,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11301,,3279463,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7887,,1089626,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,3064,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,64,Bhutan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,150,,89843,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,900,,87479,,,0
HS,2017,201706,June 2017,6,1,2,Exports,699,India,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,64966,,,0
HS,2017,201707,July 2017,6,1,1,Imports,699,India,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,142,,1514450,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,12,Algeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3581,,449981,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,28,Antigua and Barbuda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,10097,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11852,,1065222,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2366,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,39078,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,64,Bhutan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,6172,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30852,,4504519,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2315,,311448,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1404,,454806,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,140,Central African Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,350,,132160,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,148,Chad,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,610,,389918,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2806,,493234,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,120,Cameroon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2924,,451127,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15080,,2500329,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,178,Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,720,,1380644,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,180,Dem.Rep. of the Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,224726,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,940,,167977,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,231,Ethiopia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5123,,2038054,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,425,,48355,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,11977,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,288,Ghana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,311,,477089,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,500,,3430,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,262,Djibouti,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,3944,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,270,Gambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,71,,89866,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,36605,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,575,,104224,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,324,Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3140,,747391,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,18299,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,626,Timor-Leste,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,3702,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1000,,39417,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,364,Iran,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3000,,243208,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11162,,1180822,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,408,Dem. People's Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,181363,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,384,Côte d'Ivoire,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17945,,7743501,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,400,Jordan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,220,,139654,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,418,Lao People's Dem. Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,207035,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,6076,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,1124,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,729,Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6291,,995547,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,768,Togo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6200,,2277577,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1891,,356523,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,593,,621506,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,308871,,54063240,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,495,,43001,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,264885,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,655,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3360,,232545,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,854,Burkina Faso,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,127,,162266,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,5273,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,295,,487420,,,0
HS,2017,201705,May 2017,6,1,2,Exports,699,India,,508,Mozambique,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5656,,1494725,,,0
HS,2017,201707,July 2017,6,1,2,Exports,699,India,,4,Afghanistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11501,,1415207,,,0
HS,2017,201710,October 2017,6,1,2,Exports,699,India,,634,Qatar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,198,,45939,,,0
