Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201709,September 2017,6,1,2,Exports,372,Ireland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8193,,131879265,,,0
HS,2017,201702,February 2017,6,1,2,Exports,372,Ireland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,210,,36354,,,0
HS,2017,201702,February 2017,6,1,1,Imports,372,Ireland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,103,,77092,,,0
HS,2017,201702,February 2017,6,1,1,Imports,372,Ireland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,20091,,,0
HS,2017,201702,February 2017,6,1,1,Imports,372,Ireland,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,28,,,0
HS,2017,201704,April 2017,6,1,1,Imports,372,Ireland,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,6445,,,0
HS,2017,201704,April 2017,6,1,1,Imports,372,Ireland,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1193,,793085,,,0
HS,2017,201704,April 2017,6,1,2,Exports,372,Ireland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,376,,75996454,,,0
HS,2017,201705,May 2017,6,1,2,Exports,372,Ireland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12181,,298736565,,,0
HS,2017,201705,May 2017,6,1,2,Exports,372,Ireland,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,11050,,,0
HS,2017,201705,May 2017,6,1,2,Exports,372,Ireland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7532,,183082182,,,0
