Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201707,July 2017,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,122,,20330,,,0
HS,2017,201708,August 2017,6,1,1,Imports,398,Kazakhstan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5469,,12403455,,,0
HS,2017,201708,August 2017,6,1,1,Imports,398,Kazakhstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2450,,441000,,,0
HS,2017,201708,August 2017,6,1,1,Imports,398,Kazakhstan,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,366360,,,0
HS,2017,201708,August 2017,6,1,1,Imports,398,Kazakhstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,162,,180760,,,0
HS,2017,201708,August 2017,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10960,,18719843,,,0
HS,2017,201708,August 2017,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2128,,4884961,,,0
HS,2017,201708,August 2017,6,1,1,Imports,398,Kazakhstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,151,,34680,,,0
HS,2017,201707,July 2017,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3855,,2202766,,,0
HS,2017,201707,July 2017,6,1,1,Imports,398,Kazakhstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,15994,,,0
HS,2017,201709,September 2017,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38034,,4556568,,,0
HS,2017,201709,September 2017,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11069,,12595601,,,0
