Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,6,1,1,Imports,414,Kuwait,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2578,,2491070,,,0
HS,2017,201710,October 2017,6,1,1,Imports,414,Kuwait,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,234,,142582,,,0
HS,2017,201710,October 2017,6,1,1,Imports,414,Kuwait,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,121680,,,0
HS,2017,201710,October 2017,6,1,1,Imports,414,Kuwait,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,18651,,,0
HS,2017,201710,October 2017,6,1,1,Imports,414,Kuwait,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,210,,253564,,,0
HS,2017,201702,February 2017,6,1,1,Imports,414,Kuwait,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,365,,434541,,,0
HS,2017,201702,February 2017,6,1,1,Imports,414,Kuwait,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,11598,,,0
HS,2017,201702,February 2017,6,1,1,Imports,414,Kuwait,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,380,,97912,,,0
HS,2017,201710,October 2017,6,1,3,Re-exports,414,Kuwait,,512,Oman,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,1314,,,0
HS,2017,201710,October 2017,6,1,2,Exports,414,Kuwait,,512,Oman,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,1314,,,0
HS,2017,201710,October 2017,6,1,2,Exports,414,Kuwait,,760,Syria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,129,,,0
HS,2017,201711,November 2017,6,1,1,Imports,414,Kuwait,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,41164,,,0
HS,2017,201711,November 2017,6,1,1,Imports,414,Kuwait,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1428,,725425,,,0
HS,2017,201711,November 2017,6,1,1,Imports,414,Kuwait,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2408,,2127926,,,0
