Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201709,September 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,286,,503876,,,0
HS,2017,201709,September 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,373,,507264,,,0
HS,2017,201703,March 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,404,,725604,,,0
HS,2017,201711,November 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,263,,,0
HS,2017,201705,May 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,62,,,0
HS,2017,201711,November 2017,6,1,2,Exports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,263,,,0
HS,2017,201708,August 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,236,,470196,,,0
HS,2017,201712,December 2017,6,1,3,Re-exports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,333,,,0
HS,2017,201701,January 2017,6,1,3,Re-exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,13,,,0
HS,2017,201701,January 2017,6,1,2,Exports,442,Luxembourg,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,13,,,0
HS,2017,201701,January 2017,6,1,3,Re-exports,442,Luxembourg,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,13,,,0
HS,2017,201705,May 2017,6,1,2,Exports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,62,,,0
HS,2017,201712,December 2017,6,1,2,Exports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,666,,,0
HS,2017,201711,November 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,368,,538546,,,0
HS,2017,201712,December 2017,6,1,1,Imports,442,Luxembourg,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,272,,,0
HS,2017,201712,December 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,666,,,0
HS,2017,201712,December 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,272,,552522,,,0
HS,2017,201701,January 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,13,,,0
HS,2017,201703,March 2017,6,1,1,Imports,442,Luxembourg,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,100,,,0
HS,2017,201703,March 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,405,,725704,,,0
HS,2017,201712,December 2017,6,1,3,Re-exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,333,,,0
HS,2017,201705,May 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,279,,425106,,,0
HS,2017,201707,July 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,951,,,0
HS,2017,201707,July 2017,6,1,3,Re-exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,951,,,0
HS,2017,201701,January 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,214,,374697,,,0
HS,2017,201708,August 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,237,,470352,,,0
HS,2017,201708,August 2017,6,1,1,Imports,442,Luxembourg,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,156,,,0
HS,2017,201712,December 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,270,,552250,,,0
HS,2017,201707,July 2017,6,1,3,Re-exports,442,Luxembourg,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,951,,,0
HS,2017,201711,November 2017,6,1,1,Imports,442,Luxembourg,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,784,,,0
HS,2017,201704,April 2017,6,1,3,Re-exports,442,Luxembourg,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,6,,,0
HS,2017,201704,April 2017,6,1,2,Exports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,121,,,0
HS,2017,201704,April 2017,6,1,3,Re-exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,6,,,0
HS,2017,201701,January 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,209,,370707,,,0
HS,2017,201701,January 2017,6,1,1,Imports,442,Luxembourg,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,488,,,0
HS,2017,201704,April 2017,6,1,2,Exports,442,Luxembourg,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,6,,,0
HS,2017,201711,November 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,369,,539331,,,0
HS,2017,201703,March 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,6,,,0
HS,2017,201704,April 2017,6,1,1,Imports,442,Luxembourg,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,799,,,0
HS,2017,201704,April 2017,6,1,1,Imports,442,Luxembourg,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,401,,,0
HS,2017,201704,April 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,621757,,,0
HS,2017,201704,April 2017,6,1,1,Imports,442,Luxembourg,,729,Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5,,,0
HS,2017,201703,March 2017,6,1,3,Re-exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,6,,,0
HS,2017,201707,July 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,446,,981813,,,0
HS,2017,201701,January 2017,6,1,1,Imports,442,Luxembourg,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3502,,,0
HS,2017,201706,June 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,293,,537915,,,0
HS,2017,201705,May 2017,6,1,1,Imports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,279,,425106,,,0
HS,2017,201709,September 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,67,,,0
HS,2017,201704,April 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,323,,620551,,,0
HS,2017,201707,July 2017,6,1,1,Imports,442,Luxembourg,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,7,,,0
HS,2017,201709,September 2017,6,1,2,Exports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,67,,,0
HS,2017,201707,July 2017,6,1,1,Imports,442,Luxembourg,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,445,,981806,,,0
HS,2017,201704,April 2017,6,1,2,Exports,442,Luxembourg,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,127,,,0
HS,2017,201709,September 2017,6,1,1,Imports,442,Luxembourg,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87,,3387,,,0
