Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201702,February 2017,6,1,1,Imports,450,Madagascar,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1808,,,0
HS,2017,201702,February 2017,6,1,1,Imports,450,Madagascar,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2101,,779134,,,0
HS,2017,201702,February 2017,6,1,1,Imports,450,Madagascar,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,182,,,0
HS,2017,201702,February 2017,6,1,1,Imports,450,Madagascar,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4831,,3453926,,,0
HS,2017,201702,February 2017,6,1,1,Imports,450,Madagascar,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,405,,63281,,,0
HS,2017,201701,January 2017,6,1,1,Imports,450,Madagascar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4096,,845562,,,0
HS,2017,201701,January 2017,6,1,1,Imports,450,Madagascar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4526,,916170,,,0
HS,2017,201702,February 2017,6,1,1,Imports,450,Madagascar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7410,,4301770,,,0
HS,2017,201704,April 2017,6,1,1,Imports,450,Madagascar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,293,,24939,,,0
HS,2017,201704,April 2017,6,1,1,Imports,450,Madagascar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,897,,106005,,,0
HS,2017,201702,February 2017,6,1,1,Imports,450,Madagascar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51,,3439,,,0
