Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,402,,48214,,,0
HS,2017,201701,January 2017,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,255,,29656,,,0
HS,2017,201701,January 2017,6,1,1,Imports,480,Mauritius,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,3903,,,0
HS,2017,201701,January 2017,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,14655,,,0
HS,2017,201702,February 2017,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,514,,68270,,,0
HS,2017,201702,February 2017,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,151,,18526,,,0
HS,2017,201702,February 2017,6,1,1,Imports,480,Mauritius,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,284,,45392,,,0
HS,2017,201702,February 2017,6,1,1,Imports,480,Mauritius,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,1250,,,0
HS,2017,201702,February 2017,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,3102,,,0
HS,2017,201703,March 2017,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1376,,389719,,,0
HS,2017,201703,March 2017,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1099,,346428,,,0
HS,2017,201703,March 2017,6,1,1,Imports,480,Mauritius,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,11263,,,0
HS,2017,201703,March 2017,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,250,,20890,,,0
HS,2017,201703,March 2017,6,1,1,Imports,480,Mauritius,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,11138,,,0
HS,2017,201703,March 2017,6,1,2,Exports,480,Mauritius,,174,Comoros,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,26425,,,0
HS,2017,201703,March 2017,6,1,2,Exports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,26425,,,0
HS,2017,201703,March 2017,6,1,3,Re-exports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,26425,,,0
HS,2017,201703,March 2017,6,1,3,Re-exports,480,Mauritius,,174,Comoros,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,26425,,,0
HS,2017,201708,August 2017,6,1,1,Imports,480,Mauritius,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,46527,,,0
HS,2017,201708,August 2017,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,175,,26068,,,0
HS,2017,201710,October 2017,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,523,,104297,,,0
HS,2017,201710,October 2017,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,25981,,,0
HS,2017,201710,October 2017,6,1,1,Imports,480,Mauritius,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,92,,14014,,,0
HS,2017,201710,October 2017,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,151,,35736,,,0
HS,2017,201710,October 2017,6,1,1,Imports,480,Mauritius,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,28566,,,0
HS,2017,201704,April 2017,6,1,1,Imports,480,Mauritius,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,238,,285437,,,0
HS,2017,201704,April 2017,6,1,1,Imports,480,Mauritius,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1974,,,0
HS,2017,201704,April 2017,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,248,,41552,,,0
HS,2017,201704,April 2017,6,1,2,Exports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,584,,,0
HS,2017,201704,April 2017,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,138,,28103,,,0
HS,2017,201704,April 2017,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,644,,357066,,,0
HS,2017,201704,April 2017,6,1,2,Exports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,584,,,0
HS,2017,201705,May 2017,6,1,1,Imports,480,Mauritius,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,51517,,,0
HS,2017,201705,May 2017,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,20311,,,0
HS,2017,201705,May 2017,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,16865,,,0
HS,2017,201705,May 2017,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,391,,88692,,,0
HS,2017,201706,June 2017,6,1,1,Imports,480,Mauritius,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,1532,,,0
