Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201710,October 2017,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,39345,,,0
HS,2017,201710,October 2017,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,592497,,,0
HS,2017,201709,September 2017,6,1,2,Exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,523046,,,0
HS,2017,201709,September 2017,6,1,2,Exports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,522856,,,0
HS,2017,201709,September 2017,6,1,2,Exports,554,New Zealand,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,120,,,0
HS,2017,201701,January 2017,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20493,,4286807,,,0
HS,2017,201701,January 2017,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14765,,2149382,,,0
HS,2017,201701,January 2017,6,1,1,Imports,554,New Zealand,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1217,,473111,,,0
HS,2017,201701,January 2017,6,1,1,Imports,554,New Zealand,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,36862,,,0
HS,2017,201701,January 2017,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4480,,1627451,,,0
HS,2017,201701,January 2017,6,1,2,Exports,554,New Zealand,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,133,,20333,,,0
HS,2017,201701,January 2017,6,1,2,Exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,57,,,0
HS,2017,201701,January 2017,6,1,2,Exports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7515,,515121,,,0
HS,2017,201701,January 2017,6,1,2,Exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,535512,,,0
HS,2017,201701,January 2017,6,1,3,Re-exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,29,,,0
HS,2017,201701,January 2017,6,1,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,29,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47101,,8401021,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1028,,904503,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24270,,3265247,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,9564,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,17818,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2946,,1303861,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16226,,2651053,,,0
HS,2017,201702,February 2017,6,1,1,Imports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2608,,248975,,,0
HS,2017,201702,February 2017,6,1,2,Exports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4125,,274191,,,0
