Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201707,July 2017,6,1,1,Imports,591,Panama,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,6171,,,0
HS,2017,201702,February 2017,6,1,1,Imports,591,Panama,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2851,,1945648,,,0
HS,2017,201704,April 2017,6,1,1,Imports,591,Panama,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,96,,22200,,,0
HS,2017,201701,January 2017,6,1,1,Imports,591,Panama,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2851,,1945648,,,0
HS,2017,201707,July 2017,6,1,1,Imports,591,Panama,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36972,,5851362,,,0
HS,2017,201703,March 2017,6,1,1,Imports,591,Panama,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1546,,1946318,,,0
HS,2017,201705,May 2017,6,1,1,Imports,591,Panama,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3573,,1293470,,,0
HS,2017,201704,April 2017,6,1,1,Imports,591,Panama,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1944,,534526,,,0
HS,2017,201706,June 2017,6,1,1,Imports,591,Panama,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2691,,1441419,,,0
HS,2017,201702,February 2017,6,1,1,Imports,591,Panama,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12420,,6515807,,,0
HS,2017,201701,January 2017,6,1,1,Imports,591,Panama,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12420,,6515807,,,0
HS,2017,201706,June 2017,6,1,1,Imports,591,Panama,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,13875,,,0
HS,2017,201707,July 2017,6,1,1,Imports,591,Panama,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,19807,,,0
HS,2017,201704,April 2017,6,1,1,Imports,591,Panama,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,179,,192556,,,0
HS,2017,201706,June 2017,6,1,1,Imports,591,Panama,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,9118,,,0
HS,2017,201702,February 2017,6,1,1,Imports,591,Panama,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,647,,,0
HS,2017,201701,January 2017,6,1,1,Imports,591,Panama,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,647,,,0
HS,2017,201701,January 2017,6,1,1,Imports,591,Panama,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,9044,,,0
HS,2017,201706,June 2017,6,1,1,Imports,591,Panama,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,620,,821351,,,0
HS,2017,201704,April 2017,6,1,1,Imports,591,Panama,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,126,,137364,,,0
