Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201709,September 2017,6,1,1,Imports,604,Peru,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,42347,,,0
HS,2017,201709,September 2017,6,1,1,Imports,604,Peru,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,207,,413099,,,0
HS,2017,201706,June 2017,6,1,1,Imports,604,Peru,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,693,,387977,,,0
HS,2017,201709,September 2017,6,1,1,Imports,604,Peru,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,297,,168258,,,0
HS,2017,201705,May 2017,6,1,1,Imports,604,Peru,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3260,,6012973,,,0
HS,2017,201705,May 2017,6,1,1,Imports,604,Peru,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12045,,6812529,,,0
HS,2017,201709,September 2017,6,1,1,Imports,604,Peru,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,854,,119219,,,0
HS,2017,201709,September 2017,6,1,1,Imports,604,Peru,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,536,,146245,,,0
HS,2017,201705,May 2017,6,1,1,Imports,604,Peru,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6790,,3312180,,,0
HS,2017,201709,September 2017,6,1,1,Imports,604,Peru,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1979,,889167,,,0
HS,2017,201708,August 2017,6,1,1,Imports,604,Peru,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11145,,2032331,,,0
HS,2017,201705,May 2017,6,1,1,Imports,604,Peru,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23816,,18354793,,,0
HS,2017,201703,March 2017,6,1,1,Imports,604,Peru,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1255,,144498,,,0
HS,2017,201703,March 2017,6,1,1,Imports,604,Peru,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,715,,331597,,,0
HS,2017,201703,March 2017,6,1,1,Imports,604,Peru,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,40809,,,0
HS,2017,201701,January 2017,6,1,1,Imports,604,Peru,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4771,,2163578,,,0
HS,2017,201701,January 2017,6,1,1,Imports,604,Peru,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,266,,140348,,,0
HS,2017,201701,January 2017,6,1,1,Imports,604,Peru,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1366,,1037180,,,0
HS,2017,201709,September 2017,6,1,2,Exports,604,Peru,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,323,,184500,,,0
HS,2017,201705,May 2017,6,1,1,Imports,604,Peru,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,160,,28947,,,0
HS,2017,201702,February 2017,6,1,1,Imports,604,Peru,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,166,,329439,,,0
