Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201701,January 2017,6,1,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24016,,24362578,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18654,,1719117,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65112,,16943271,,,0
HS,2017,201708,August 2017,6,1,1,Imports,410,Rep. of Korea,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3905,,9257931,,,0
HS,2017,201708,August 2017,6,1,1,Imports,410,Rep. of Korea,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27238,,23546228,,,0
HS,2017,201703,March 2017,6,1,1,Imports,410,Rep. of Korea,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,662045,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,6300,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,51,Armenia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,216,,12600,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,170,,113900,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9504,,720640,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11206,,5581303,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,90,Solomon Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,352,,26560,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,92,Br. Virgin Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,893,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,181,,71529,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,15962,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,162,,75809,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,178,Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1835,,647360,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,188,Costa Rica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,31788,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5327,,1207510,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,212,Dominica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,3023,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1201,,165185,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3001,,1371673,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,146,,5887,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,270,Gambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,92,,7000,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,2358,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,340,Honduras,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1568,,216584,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,400,Jordan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,20167,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,388,Jamaica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,182,,11983,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2450,,432200,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,450,Madagascar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,692,,241400,,,0
HS,2017,201708,August 2017,6,1,2,Exports,410,Rep. of Korea,,496,Mongolia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,94,,15000,,,0
