Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201707,July 2017,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,601,,120340,,,0
HS,2017,201707,July 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,629,,127854,,,0
HS,2017,201706,June 2017,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,104,,9247,,,0
HS,2017,201707,July 2017,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,7514,,,0
HS,2017,201703,March 2017,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,51075,,,0
HS,2017,201703,March 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,51075,,,0
HS,2017,201706,June 2017,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86,,13904,,,0
HS,2017,201706,June 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,190,,23151,,,0
HS,2017,201705,May 2017,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,412,,176001,,,0
HS,2017,201705,May 2017,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,205,,25434,,,0
HS,2017,201705,May 2017,6,1,1,Imports,498,Rep. of Moldova,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,96,,73646,,,0
HS,2017,201708,August 2017,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,189,,254490,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,4987,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2728,,714287,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,294,,22642,,,0
HS,2017,201709,September 2017,6,1,1,Imports,498,Rep. of Moldova,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1458,,,0
HS,2017,201709,September 2017,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,25300,,,0
HS,2017,201705,May 2017,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,76,,15868,,,0
HS,2017,201705,May 2017,6,1,1,Imports,498,Rep. of Moldova,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,41287,,,0
HS,2017,201705,May 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,805,,332236,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,3216,,,0
HS,2017,201708,August 2017,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1260,,264757,,,0
HS,2017,201708,August 2017,6,1,1,Imports,498,Rep. of Moldova,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,42327,,,0
HS,2017,201708,August 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1487,,561574,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,5842,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,291,,171102,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,22585,,,0
HS,2017,201711,November 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3460,,944661,,,0
HS,2017,201709,September 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,182,,26758,,,0
HS,2017,201712,December 2017,6,1,1,Imports,498,Rep. of Moldova,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,848,,,0
HS,2017,201712,December 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,6617,,,0
HS,2017,201702,February 2017,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4109,,,0
HS,2017,201710,October 2017,6,1,1,Imports,498,Rep. of Moldova,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,5656,,,0
HS,2017,201702,February 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4109,,,0
HS,2017,201710,October 2017,6,1,1,Imports,498,Rep. of Moldova,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1220,,247116,,,0
HS,2017,201710,October 2017,6,1,1,Imports,498,Rep. of Moldova,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,101,,28069,,,0
HS,2017,201712,December 2017,6,1,1,Imports,498,Rep. of Moldova,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,5769,,,0
HS,2017,201710,October 2017,6,1,1,Imports,498,Rep. of Moldova,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,72,,25331,,,0
HS,2017,201710,October 2017,6,1,1,Imports,498,Rep. of Moldova,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1470,,306172,,,0
