Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201711,November 2017,6,1,1,Imports,646,Rwanda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,35133,,,0
HS,2017,201701,January 2017,6,1,1,Imports,646,Rwanda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,276484,,,0
HS,2017,201701,January 2017,6,1,1,Imports,646,Rwanda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8330,,,0
HS,2017,201701,January 2017,6,1,1,Imports,646,Rwanda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1202,,,0
HS,2017,201701,January 2017,6,1,1,Imports,646,Rwanda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,266953,,,0
HS,2017,201702,February 2017,6,1,1,Imports,646,Rwanda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1468989,,,0
HS,2017,201702,February 2017,6,1,1,Imports,646,Rwanda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,57444,,,0
HS,2017,201702,February 2017,6,1,1,Imports,646,Rwanda,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1256187,,,0
HS,2017,201702,February 2017,6,1,1,Imports,646,Rwanda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3554,,,0
HS,2017,201702,February 2017,6,1,1,Imports,646,Rwanda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,151804,,,0
HS,2017,201703,March 2017,6,1,1,Imports,646,Rwanda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,473022,,,0
HS,2017,201703,March 2017,6,1,1,Imports,646,Rwanda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4453,,,0
HS,2017,201703,March 2017,6,1,1,Imports,646,Rwanda,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,23419,,,0
HS,2017,201703,March 2017,6,1,1,Imports,646,Rwanda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,207983,,,0
HS,2017,201703,March 2017,6,1,1,Imports,646,Rwanda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,237167,,,0
HS,2017,201711,November 2017,6,1,1,Imports,646,Rwanda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,2808,,,0
HS,2017,201711,November 2017,6,1,1,Imports,646,Rwanda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4600,,276771,,,0
HS,2017,201711,November 2017,6,1,1,Imports,646,Rwanda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4745,,314712,,,0
HS,2017,201704,April 2017,6,1,1,Imports,646,Rwanda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,9469,,,0
HS,2017,201704,April 2017,6,1,1,Imports,646,Rwanda,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1122,,,0
HS,2017,201704,April 2017,6,1,1,Imports,646,Rwanda,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2264,,696373,,,0
HS,2017,201704,April 2017,6,1,1,Imports,646,Rwanda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,93,,21914,,,0
HS,2017,201704,April 2017,6,1,1,Imports,646,Rwanda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,10374,,,0
HS,2017,201704,April 2017,6,1,1,Imports,646,Rwanda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2653,,772554,,,0
HS,2017,201704,April 2017,6,1,1,Imports,646,Rwanda,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,136,,33302,,,0
HS,2017,201706,June 2017,6,1,1,Imports,646,Rwanda,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,47,,,0
HS,2017,201706,June 2017,6,1,1,Imports,646,Rwanda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3622,,311148,,,0
HS,2017,201706,June 2017,6,1,1,Imports,646,Rwanda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3534,,307110,,,0
HS,2017,201706,June 2017,6,1,1,Imports,646,Rwanda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,3991,,,0
HS,2017,201709,September 2017,6,1,1,Imports,646,Rwanda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2316,,665731,,,0
HS,2017,201709,September 2017,6,1,1,Imports,646,Rwanda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,4289,,,0
HS,2017,201709,September 2017,6,1,1,Imports,646,Rwanda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,3530,,,0
HS,2017,201709,September 2017,6,1,1,Imports,646,Rwanda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2190,,657911,,,0
HS,2017,201708,August 2017,6,1,1,Imports,646,Rwanda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,1750,,,0
HS,2017,201708,August 2017,6,1,1,Imports,646,Rwanda,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1307,,,0
