Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201706,June 2017,6,1,1,Imports,682,Saudi Arabia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7000,,4160799,,,0
HS,2017,201704,April 2017,6,1,2,Exports,682,Saudi Arabia,,512,Oman,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1305,,110933,,,0
HS,2017,201707,July 2017,6,1,2,Exports,682,Saudi Arabia,,512,Oman,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,801,,91200,,,0
HS,2017,201702,February 2017,6,1,1,Imports,682,Saudi Arabia,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,54400,,,0
HS,2017,201707,July 2017,6,1,1,Imports,682,Saudi Arabia,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,66933,,,0
HS,2017,201706,June 2017,6,1,1,Imports,682,Saudi Arabia,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,76,,30400,,,0
HS,2017,201709,September 2017,6,1,2,Exports,682,Saudi Arabia,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43000,,1983466,,,0
HS,2017,201707,July 2017,6,1,1,Imports,682,Saudi Arabia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,29333,,,0
HS,2017,201708,August 2017,6,1,1,Imports,682,Saudi Arabia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,499,,103467,,,0
HS,2017,201703,March 2017,6,1,1,Imports,682,Saudi Arabia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,203,,109867,,,0
HS,2017,201703,March 2017,6,1,1,Imports,682,Saudi Arabia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3000,,35467,,,0
HS,2017,201707,July 2017,6,1,1,Imports,682,Saudi Arabia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,139,,77067,,,0
HS,2017,201702,February 2017,6,1,1,Imports,682,Saudi Arabia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1000,,160267,,,0
HS,2017,201701,January 2017,6,1,1,Imports,682,Saudi Arabia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4000,,494401,,,0
HS,2017,201709,September 2017,6,1,1,Imports,682,Saudi Arabia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43000,,6486932,,,0
HS,2017,201707,July 2017,6,1,1,Imports,682,Saudi Arabia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7000,,890666,,,0
