Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201709,September 2017,6,1,1,Imports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1635,,,0
HS,2017,201709,September 2017,6,1,1,Imports,702,Singapore,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,183374,,,0
HS,2017,201709,September 2017,6,1,1,Imports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4831715,,,0
HS,2017,201709,September 2017,6,1,1,Imports,702,Singapore,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,288661,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,372975,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1759872,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,203531,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,127163,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,774,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6557,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,77737,,,0
HS,2017,201702,February 2017,6,1,1,Imports,702,Singapore,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3226,,,0
HS,2017,201703,March 2017,6,1,1,Imports,702,Singapore,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1259,,,0
HS,2017,201707,July 2017,6,1,1,Imports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,180512,,,0
HS,2017,201707,July 2017,6,1,1,Imports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8117,,,0
HS,2017,201707,July 2017,6,1,2,Exports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10210998,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,18958,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,307,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6467827,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,188823,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2499,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2947,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2354,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15408,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,379504,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,62,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7101014,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1015,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,14634,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1679616,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2121120,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,220889,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,52783,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,985,,,0
HS,2017,201704,April 2017,6,1,1,Imports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,249885,,,0
HS,2017,201704,April 2017,6,1,1,Imports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3372397,,,0
HS,2017,201704,April 2017,6,1,1,Imports,702,Singapore,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17682,,,0
HS,2017,201704,April 2017,6,1,1,Imports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3041444,,,0
HS,2017,201704,April 2017,6,1,1,Imports,702,Singapore,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,63386,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15901,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2994,,,0
HS,2017,201704,April 2017,6,1,2,Exports,702,Singapore,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3430,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4213,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,21691,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,140901,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3529,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,515080,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2673,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4724,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9960,,,0
HS,2017,201708,August 2017,6,1,1,Imports,702,Singapore,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,136485,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2639,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12677816,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,34911,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10878,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4716,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3531,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,626,Timor-Leste,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4689,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,323829,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3145,,,0
HS,2017,201708,August 2017,6,1,2,Exports,702,Singapore,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,46358,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,212856,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17403,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1604613,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2523063,,,0
HS,2017,201705,May 2017,6,1,2,Exports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,103,,,0
HS,2017,201709,September 2017,6,1,1,Imports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1207388,,,0
HS,2017,201709,September 2017,6,1,1,Imports,702,Singapore,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,379463,,,0
HS,2017,201709,September 2017,6,1,1,Imports,702,Singapore,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2571857,,,0
HS,2017,201709,September 2017,6,1,2,Exports,702,Singapore,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2486,,,0
HS,2017,201709,September 2017,6,1,2,Exports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,41,,,0
HS,2017,201709,September 2017,6,1,2,Exports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10265613,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4758,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9109,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17828,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16618,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,21404,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2804189,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,562124,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1206089,,,0
HS,2017,201711,November 2017,6,1,1,Imports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,966258,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,333,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,18055,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,57988,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2611263,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,96,Brunei Darussalam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,150136,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,159965,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,58368,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3702,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7230,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1947,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,19487,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,22,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,892,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,58308,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6,,,0
HS,2017,201711,November 2017,6,1,2,Exports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3147700,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,60940,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,487165,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,81140,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,213658,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,769,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,52321,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6335,,,0
HS,2017,201710,October 2017,6,1,1,Imports,702,Singapore,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,72002,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15863221,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,179438,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,193381,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11453,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10357,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,316562,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7645,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,75116,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,337,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,389014,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,670,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2457,,,0
HS,2017,201710,October 2017,6,1,2,Exports,702,Singapore,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17049655,,,0
HS,2017,201712,December 2017,6,1,1,Imports,702,Singapore,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,362759,,,0
HS,2017,201712,December 2017,6,1,1,Imports,702,Singapore,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5957948,,,0
HS,2017,201712,December 2017,6,1,1,Imports,702,Singapore,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1375,,,0
HS,2017,201712,December 2017,6,1,1,Imports,702,Singapore,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7686,,,0
HS,2017,201712,December 2017,6,1,1,Imports,702,Singapore,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,19,,,0
HS,2017,201712,December 2017,6,1,2,Exports,702,Singapore,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12502,,,0
HS,2017,201712,December 2017,6,1,2,Exports,702,Singapore,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16237,,,0
HS,2017,201712,December 2017,6,1,2,Exports,702,Singapore,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1091,,,0
HS,2017,201712,December 2017,6,1,2,Exports,702,Singapore,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4,,,0
