Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,159,,235953,,,0
HS,2017,201702,February 2017,6,1,2,Exports,705,Slovenia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,22239,,,0
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,6468,,,0
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5810,,,0
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,247146,,,0
HS,2017,201708,August 2017,6,1,1,Imports,705,Slovenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,130883,,,0
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1439,,,0
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,51347,,,0
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,209,,133902,,,0
HS,2017,201711,November 2017,6,1,1,Imports,705,Slovenia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,766,,366994,,,0
