Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201710,October 2017,6,1,2,Exports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,8,,,0
HS,2017,201710,October 2017,6,1,2,Exports,710,South Africa,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,12961,,,0
HS,2017,201707,July 2017,6,1,2,Exports,710,South Africa,,508,Mozambique,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,11504,,,0
HS,2017,201707,July 2017,6,1,2,Exports,710,South Africa,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,930,,655,,,0
HS,2017,201707,July 2017,6,1,2,Exports,710,South Africa,,566,Nigeria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3002,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4077,,282225,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,508,Mozambique,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,255,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,894,Zambia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,2000,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,748,Swaziland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,2024,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,516,Namibia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,325,,46679,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,72,Botswana,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,264,,4333,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35636,,30164769,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,849,,191419,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,8,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,71,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23658,,22368368,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4218,,600009,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2274,,3517956,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,674,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,426,Lesotho,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,0,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,54,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,454,Malawi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,19093,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,716,Zimbabwe,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,18476,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4597,,3485991,,,0
HS,2017,201706,June 2017,6,1,1,Imports,710,South Africa,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,227,,,0
HS,2017,201706,June 2017,6,1,2,Exports,710,South Africa,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,10,,,0
