Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201703,March 2017,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,9485,,,0
HS,2017,201703,March 2017,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,20589,,,0
HS,2017,201706,June 2017,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,25331,,,0
HS,2017,201706,June 2017,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,25331,,,0
HS,2017,201703,March 2017,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,30074,,,0
HS,2017,201705,May 2017,6,1,1,Imports,807,TFYR of Macedonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,19315,,,0
HS,2017,201705,May 2017,6,1,1,Imports,807,TFYR of Macedonia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,56,,10171,,,0
HS,2017,201705,May 2017,6,1,1,Imports,807,TFYR of Macedonia,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1221,,,0
HS,2017,201704,April 2017,6,1,1,Imports,807,TFYR of Macedonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,372,,,0
HS,2017,201704,April 2017,6,1,1,Imports,807,TFYR of Macedonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,589,,299488,,,0
HS,2017,201707,July 2017,6,1,1,Imports,807,TFYR of Macedonia,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1,,,0
HS,2017,201709,September 2017,6,1,1,Imports,807,TFYR of Macedonia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,7256,,,0
HS,2017,201707,July 2017,6,1,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,314936,,,0
