Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1241,,304900,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33418,,10296222,,,0
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,104,Myanmar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,82500,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4466,,942848,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4949,,889818,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10827,,637258,,,0
HS,2017,201707,July 2017,6,1,2,Exports,764,Thailand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,129,,,0
HS,2017,201707,July 2017,6,1,2,Exports,764,Thailand,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,291,,40308,,,0
HS,2017,201707,July 2017,6,1,4,Re-imports,764,Thailand,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,25,,,0
HS,2017,201707,July 2017,6,1,1,Imports,764,Thailand,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,25,,,0
HS,2017,201707,July 2017,6,1,4,Re-imports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,25,,,0
HS,2017,201710,October 2017,6,1,2,Exports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9483,,1339368,,,0
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,7595,,,0
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,145,,19580,,,0
HS,2017,201710,October 2017,6,1,1,Imports,764,Thailand,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,920,,273413,,,0
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,28264,,,0
HS,2017,201710,October 2017,6,1,1,Imports,764,Thailand,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,684,,,0
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,418,Lao People's Dem. Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,29345,,,0
HS,2017,201710,October 2017,6,1,1,Imports,764,Thailand,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1237,,277228,,,0
HS,2017,201710,October 2017,6,1,1,Imports,764,Thailand,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,918,,50040,,,0
HS,2017,201708,August 2017,6,1,1,Imports,764,Thailand,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,7625,,,0
HS,2017,201708,August 2017,6,1,1,Imports,764,Thailand,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,3122,,,0
HS,2017,201708,August 2017,6,1,1,Imports,764,Thailand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,436,,,0
HS,2017,201707,July 2017,6,1,2,Exports,764,Thailand,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,11,,,0
HS,2017,201707,July 2017,6,1,2,Exports,764,Thailand,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,25,,,0
HS,2017,201707,July 2017,6,1,2,Exports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2064,,660906,,,0
HS,2017,201708,August 2017,6,1,1,Imports,764,Thailand,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,816,,4126,,,0
HS,2017,201707,July 2017,6,1,2,Exports,764,Thailand,,418,Lao People's Dem. Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,35285,,,0
HS,2017,201708,August 2017,6,1,1,Imports,764,Thailand,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3522,,659287,,,0
HS,2017,201708,August 2017,6,1,1,Imports,764,Thailand,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,124,,,0
HS,2017,201712,December 2017,6,1,2,Exports,764,Thailand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7110,,1118735,,,0
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1020,,137394,,,0
HS,2017,201703,March 2017,6,1,2,Exports,764,Thailand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,162,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,895,,967176,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,1883,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,781195,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,3370,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,303,,115710,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,252,,1285543,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,646,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,956,,164141,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10915,,11483320,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,571,,55589,,,0
HS,2017,201712,December 2017,6,1,2,Exports,764,Thailand,,490,"Other Asia, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6558,,959501,,,0
HS,2017,201712,December 2017,6,1,2,Exports,764,Thailand,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,168,,25613,,,0
HS,2017,201712,December 2017,6,1,2,Exports,764,Thailand,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3172,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,310,,321448,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,900,,146851,,,0
HS,2017,201703,March 2017,6,1,1,Imports,764,Thailand,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,918,,1167077,,,0
HS,2017,201712,December 2017,6,1,1,Imports,764,Thailand,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2885,,179435,,,0
HS,2017,201712,December 2017,6,1,2,Exports,764,Thailand,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,20000,,,0
HS,2017,201712,December 2017,6,1,2,Exports,764,Thailand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,15,,,0
