Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201702,February 2017,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1200,,1429356,,,0
HS,2017,201703,March 2017,6,1,1,Imports,804,Ukraine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,4572,,,0
HS,2017,201702,February 2017,6,1,2,Exports,804,Ukraine,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,849,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1248,,84864,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,9000,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,25050,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1779,,636892,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,322,,307230,,,0
HS,2017,201705,May 2017,6,1,1,Imports,804,Ukraine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,2862,,,0
HS,2017,201705,May 2017,6,1,1,Imports,804,Ukraine,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,24235,,,0
HS,2017,201705,May 2017,6,1,1,Imports,804,Ukraine,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,127826,,,0
HS,2017,201705,May 2017,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1427,,,0
HS,2017,201705,May 2017,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3589,,2000997,,,0
HS,2017,201705,May 2017,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3103,,1763650,,,0
HS,2017,201705,May 2017,6,1,1,Imports,804,Ukraine,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,395,,80997,,,0
HS,2017,201702,February 2017,6,1,1,Imports,804,Ukraine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1248,,84864,,,0
HS,2017,201702,February 2017,6,1,1,Imports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3483,,2409767,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,99623,,,0
HS,2017,201706,June 2017,6,1,1,Imports,804,Ukraine,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,705,,426854,,,0
HS,2017,201702,February 2017,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,849,,,0
HS,2017,201701,January 2017,6,1,1,Imports,804,Ukraine,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1296,,595149,,,0
HS,2017,201701,January 2017,6,1,1,Imports,804,Ukraine,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,10176,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,131,,106635,,,0
HS,2017,201712,December 2017,6,1,1,Imports,804,Ukraine,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,4489,,,0
HS,2017,201706,June 2017,6,1,1,Imports,804,Ukraine,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8963,,744700,,,0
