Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201712,December 2017,6,1,3,Re-exports,784,United Arab Emirates,,48,Bahrain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,603,,47888,,,0
HS,2017,201705,May 2017,6,1,3,Re-exports,784,United Arab Emirates,,887,Yemen,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,306,,95166,,,0
HS,2017,201705,May 2017,6,1,3,Re-exports,784,United Arab Emirates,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,70,,,0
HS,2017,201705,May 2017,6,1,3,Re-exports,784,United Arab Emirates,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,483,,,0
HS,2017,201708,August 2017,6,1,3,Re-exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,111,,,0
HS,2017,201708,August 2017,6,1,2,Exports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3922,,222753,,,0
HS,2017,201706,June 2017,6,1,1,Imports,784,United Arab Emirates,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,2215,,,0
HS,2017,201705,May 2017,6,1,2,Exports,784,United Arab Emirates,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2126,,58207,,,0
HS,2017,201703,March 2017,6,1,3,Re-exports,784,United Arab Emirates,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1240,,69659,,,0
HS,2017,201705,May 2017,6,1,2,Exports,784,United Arab Emirates,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,619,,5574,,,0
HS,2017,201709,September 2017,6,1,1,Imports,784,United Arab Emirates,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7644,,1244514,,,0
HS,2017,201708,August 2017,6,1,1,Imports,784,United Arab Emirates,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5865,,772167,,,0
HS,2017,201708,August 2017,6,1,1,Imports,784,United Arab Emirates,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4778,,440388,,,0
HS,2017,201708,August 2017,6,1,1,Imports,784,United Arab Emirates,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,314,,42013,,,0
HS,2017,201709,September 2017,6,1,1,Imports,784,United Arab Emirates,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4237,,348427,,,0
HS,2017,201705,May 2017,6,1,2,Exports,784,United Arab Emirates,,887,Yemen,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,306,,95166,,,0
HS,2017,201709,September 2017,6,1,1,Imports,784,United Arab Emirates,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,518,,147208,,,0
HS,2017,201708,August 2017,6,1,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38181,,12155151,,,0
HS,2017,201709,September 2017,6,1,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24952,,5355987,,,0
HS,2017,201703,March 2017,6,1,3,Re-exports,784,United Arab Emirates,,818,Egypt,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,507,,16922,,,0
HS,2017,201703,March 2017,6,1,3,Re-exports,784,United Arab Emirates,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,380110,,,0
HS,2017,201705,May 2017,6,1,2,Exports,784,United Arab Emirates,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,70,,,0
HS,2017,201703,March 2017,6,1,3,Re-exports,784,United Arab Emirates,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6750,,15330,,,0
HS,2017,201705,May 2017,6,1,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43013,,7064400,,,0
HS,2017,201708,August 2017,6,1,2,Exports,784,United Arab Emirates,,646,Rwanda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,101,,,0
HS,2017,201705,May 2017,6,1,1,Imports,784,United Arab Emirates,,682,Saudi Arabia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,18210,,,0
HS,2017,201708,August 2017,6,1,3,Re-exports,784,United Arab Emirates,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,10,,,0
HS,2017,201705,May 2017,6,1,1,Imports,784,United Arab Emirates,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,224278,,,0
HS,2017,201703,March 2017,6,1,2,Exports,784,United Arab Emirates,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1240,,69659,,,0
HS,2017,201705,May 2017,6,1,1,Imports,784,United Arab Emirates,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4224,,2825425,,,0
HS,2017,201705,May 2017,6,1,1,Imports,784,United Arab Emirates,,400,Jordan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,180,,25028,,,0
HS,2017,201705,May 2017,6,1,1,Imports,784,United Arab Emirates,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7221,,1559932,,,0
HS,2017,201703,March 2017,6,1,1,Imports,784,United Arab Emirates,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3514,,205881,,,0
HS,2017,201703,March 2017,6,1,1,Imports,784,United Arab Emirates,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1383,,903819,,,0
HS,2017,201708,August 2017,6,1,3,Re-exports,784,United Arab Emirates,,646,Rwanda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,101,,,0
HS,2017,201712,December 2017,6,1,2,Exports,784,United Arab Emirates,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,15023,,,0
HS,2017,201712,December 2017,6,1,1,Imports,784,United Arab Emirates,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37405,,12867705,,,0
HS,2017,201712,December 2017,6,1,1,Imports,784,United Arab Emirates,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2202,,1443804,,,0
