Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201707,July 2017,6,1,1,Imports,716,Zimbabwe,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,575,,27317,,,0
HS,2017,201707,July 2017,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,33,,,0
HS,2017,201705,May 2017,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2652,,240755,,,0
HS,2017,201705,May 2017,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,7028,,,0
HS,2017,201705,May 2017,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,93,,8942,,,0
HS,2017,201707,July 2017,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,259,,54371,,,0
HS,2017,201705,May 2017,6,1,1,Imports,716,Zimbabwe,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,593,,35957,,,0
HS,2017,201707,July 2017,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1079,,293933,,,0
HS,2017,201707,July 2017,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1943,,375654,,,0
HS,2017,201704,April 2017,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,230,,44527,,,0
HS,2017,201704,April 2017,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1661,,214025,,,0
HS,2017,201704,April 2017,6,1,1,Imports,716,Zimbabwe,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,4255,,,0
HS,2017,201704,April 2017,6,1,1,Imports,716,Zimbabwe,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,302,,29810,,,0
HS,2017,201704,April 2017,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,107,,94531,,,0
HS,2017,201704,April 2017,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2405,,387148,,,0
HS,2017,201703,March 2017,6,1,1,Imports,716,Zimbabwe,,458,Malaysia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,226,,52000,,,0
HS,2017,201709,September 2017,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,955,,74642,,,0
HS,2017,201703,March 2017,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2264,,733909,,,0
HS,2017,201703,March 2017,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,26178,,,0
HS,2017,201709,September 2017,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,50,,,0
HS,2017,201703,March 2017,6,1,1,Imports,716,Zimbabwe,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,78,,1073,,,0
HS,2017,201703,March 2017,6,1,1,Imports,716,Zimbabwe,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2688,,813159,,,0
HS,2017,201702,February 2017,6,1,1,Imports,716,Zimbabwe,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,158,,14866,,,0
HS,2017,201709,September 2017,6,1,1,Imports,716,Zimbabwe,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,1111,,,0
HS,2017,201702,February 2017,6,1,1,Imports,716,Zimbabwe,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4968,,1069010,,,0
HS,2017,201709,September 2017,6,1,1,Imports,716,Zimbabwe,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,258,,16240,,,0
