Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,9701,,,0
HS,2018,201809,September 2018,6,1,1,Imports,28,Antigua and Barbuda,,52,Barbados,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,5381,,,0
HS,2018,201809,September 2018,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,980,,,0
HS,2018,201809,September 2018,6,1,1,Imports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,3340,,,0
HS,2018,201806,June 2018,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,5038,,,0
HS,2018,201806,June 2018,6,1,1,Imports,28,Antigua and Barbuda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,2999,,,0
HS,2018,201806,June 2018,6,1,1,Imports,28,Antigua and Barbuda,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,99,,,0
HS,2018,201806,June 2018,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,710,,,0
HS,2018,201806,June 2018,6,1,1,Imports,28,Antigua and Barbuda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,469,,,0
HS,2018,201806,June 2018,6,1,1,Imports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,761,,,0
HS,2018,201801,January 2018,6,1,1,Imports,28,Antigua and Barbuda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,176,,,0
HS,2018,201801,January 2018,6,1,1,Imports,28,Antigua and Barbuda,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,365,,,0
HS,2018,201802,February 2018,6,1,1,Imports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1405,,,0
HS,2018,201802,February 2018,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,5666,,,0
HS,2018,201802,February 2018,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,4261,,,0
HS,2018,201801,January 2018,6,1,1,Imports,28,Antigua and Barbuda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,208,,,0
HS,2018,201801,January 2018,6,1,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,7824,,,0
HS,2018,201803,March 2018,6,1,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,3014,,,0
