Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2520,,2579243,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4840,,6208819,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27915,,14773970,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17472,,8505445,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,467,,307813,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4313,,502225,,,0
HS,2018,201807,July 2018,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1737,,775824,,,0
HS,2018,201807,July 2018,6,1,1,Imports,32,Argentina,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1660,,2397991,,,0
HS,2018,201807,July 2018,6,1,1,Imports,32,Argentina,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,49360,,,0
HS,2018,201807,July 2018,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,683,,3770285,,,0
HS,2018,201807,July 2018,6,1,1,Imports,32,Argentina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,87270,,,0
HS,2018,201803,March 2018,6,1,1,Imports,32,Argentina,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1717,,388470,,,0
HS,2018,201803,March 2018,6,1,1,Imports,32,Argentina,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18161,,2609406,,,0
HS,2018,201801,January 2018,6,1,4,Re-imports,32,Argentina,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1162,,,0
HS,2018,201808,August 2018,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7347,,4525000,,,0
HS,2018,201808,August 2018,6,1,1,Imports,32,Argentina,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,294,,,0
HS,2018,201808,August 2018,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,2402880,,,0
HS,2018,201808,August 2018,6,1,1,Imports,32,Argentina,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,45,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,99950,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,668,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,543,,182321,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,605,,2404791,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,947,,728381,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,106250,,,0
HS,2018,201812,December 2018,6,1,1,Imports,32,Argentina,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,207,,107215,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,12721,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1749,,653435,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,268,,1201019,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3386,,3305722,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,610,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,60619,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1450,,240131,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19164,,8659890,,,0
HS,2018,201810,October 2018,6,1,1,Imports,32,Argentina,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26077,,14134147,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,1201019,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1001,,276800,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4180,,3934046,,,0
HS,2018,201811,November 2018,6,1,1,Imports,32,Argentina,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,46621,,,0
HS,2018,201809,September 2018,6,1,1,Imports,32,Argentina,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,330,,150803,,,0
HS,2018,201809,September 2018,6,1,1,Imports,32,Argentina,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,91116,,,0
HS,2018,201809,September 2018,6,1,1,Imports,32,Argentina,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5676,,4934808,,,0
