Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,July 2018,6,1,1,Imports,51,Armenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,281,,225789,,,0
HS,2018,201807,July 2018,6,1,1,Imports,51,Armenia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,12623,,,0
HS,2018,201807,July 2018,6,1,1,Imports,51,Armenia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,687,,94538,,,0
HS,2018,201809,September 2018,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,56904,,,0
HS,2018,201807,July 2018,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,2474,,,0
HS,2018,201805,May 2018,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1198,,551020,,,0
HS,2018,201809,September 2018,6,1,1,Imports,51,Armenia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,799,,,0
HS,2018,201807,July 2018,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,983,,335734,,,0
HS,2018,201810,October 2018,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,640,,66725,,,0
HS,2018,201804,April 2018,6,1,1,Imports,51,Armenia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,2145,,,0
HS,2018,201804,April 2018,6,1,1,Imports,51,Armenia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,244,,,0
HS,2018,201804,April 2018,6,1,1,Imports,51,Armenia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1901,,,0
HS,2018,201810,October 2018,6,1,1,Imports,51,Armenia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4934,,,0
HS,2018,201807,July 2018,6,1,1,Imports,51,Armenia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,310,,,0
