Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201804,April 2018,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2311,,256797,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,146359,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5987151,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,724650,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,283033,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4987026,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,123576,,,0
HS,2018,201804,April 2018,6,1,2,Exports,36,Australia,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,145,,249468,,,0
HS,2018,201804,April 2018,6,1,2,Exports,36,Australia,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5000,,73297,,,0
HS,2018,201804,April 2018,6,1,2,Exports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,6400,,,0
HS,2018,201804,April 2018,6,1,2,Exports,36,Australia,,882,Samoa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,154,,,0
HS,2018,201804,April 2018,6,1,2,Exports,36,Australia,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,65,,45266,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,899377,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15101903,,,0
HS,2018,201811,November 2018,6,1,1,Imports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1950731,,,0
HS,2018,201802,February 2018,6,1,2,Exports,36,Australia,,162,Christmas Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,2080,,,0
HS,2018,201802,February 2018,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9418,,1395626,,,0
HS,2018,201810,October 2018,6,1,2,Exports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,304,,313759,,,0
HS,2018,201810,October 2018,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4015,,647792,,,0
HS,2018,201807,July 2018,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5235,,18517946,,,0
HS,2018,201809,September 2018,6,1,1,Imports,36,Australia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5735037,,,0
HS,2018,201809,September 2018,6,1,1,Imports,36,Australia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3415806,,,0
HS,2018,201809,September 2018,6,1,1,Imports,36,Australia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,450199,,,0
HS,2018,201809,September 2018,6,1,1,Imports,36,Australia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,196490,,,0
HS,2018,201809,September 2018,6,1,2,Exports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,644,,2235492,,,0
HS,2018,201809,September 2018,6,1,2,Exports,36,Australia,,162,Christmas Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1187,,,0
HS,2018,201809,September 2018,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4902,,2483381,,,0
HS,2018,201809,September 2018,6,1,2,Exports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3320,,106701,,,0
HS,2018,201809,September 2018,6,1,2,Exports,36,Australia,,422,Lebanon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,4883,,,0
HS,2018,201809,September 2018,6,1,2,Exports,36,Australia,,858,Uruguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,19642,,,0
HS,2018,201802,February 2018,6,1,2,Exports,36,Australia,,520,Nauru,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,749,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,137657,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2124372,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,453075,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,6258986,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4118795,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8306082,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,165288,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4622340,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,30204336,,,0
HS,2018,201808,August 2018,6,1,1,Imports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4017742,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41175,,25527861,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1495,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,688,,85435,,,0
HS,2018,201812,December 2018,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1740,,186867,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,9890,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,258,French Polynesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,1704,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25451,,2966533,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,162,Christmas Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,709,,,0
HS,2018,201808,August 2018,6,1,2,Exports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6435,,22388837,,,0
HS,2018,201811,November 2018,6,1,2,Exports,36,Australia,,162,Christmas Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1582,,,0
HS,2018,201811,November 2018,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,534,,567040,,,0
HS,2018,201802,February 2018,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6261,,1055743,,,0
HS,2018,201812,December 2018,6,1,2,Exports,36,Australia,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,101,,,0
HS,2018,201812,December 2018,6,1,2,Exports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,17198,,,0
HS,2018,201802,February 2018,6,1,2,Exports,36,Australia,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,41,,55646,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,3532,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,97,,198953,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,96,Brunei Darussalam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,5489,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3210,,9863022,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1505,,272046,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1289,,6025128,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,51,,6243,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,162,Christmas Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1724,,,0
HS,2018,201806,June 2018,6,1,2,Exports,36,Australia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6199,,16378025,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,59352,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5536628,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8539176,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,177544,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5007,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,24103,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4048889,,,0
HS,2018,201806,June 2018,6,1,1,Imports,36,Australia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3745188,,,0
HS,2018,201805,May 2018,6,1,2,Exports,36,Australia,,554,New Zealand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1932,,104504,,,0
HS,2018,201805,May 2018,6,1,2,Exports,36,Australia,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,298630,,,0
