Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,347,,153625,,,0
HS,2018,201811,November 2018,6,1,1,Imports,31,Azerbaijan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,90,,36400,,,0
HS,2018,201811,November 2018,6,1,1,Imports,31,Azerbaijan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,150,,16649,,,0
HS,2018,201802,February 2018,6,1,1,Imports,31,Azerbaijan,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,7898,,,0
HS,2018,201802,February 2018,6,1,1,Imports,31,Azerbaijan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,130,,97273,,,0
HS,2018,201802,February 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86,,30795,,,0
HS,2018,201804,April 2018,6,1,1,Imports,31,Azerbaijan,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,295,,69252,,,0
HS,2018,201804,April 2018,6,1,1,Imports,31,Azerbaijan,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,298,,54586,,,0
HS,2018,201804,April 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,6593,,,0
HS,2018,201801,January 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,117,,16149,,,0
HS,2018,201806,June 2018,6,1,1,Imports,31,Azerbaijan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3046,,1581582,,,0
HS,2018,201806,June 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3665,,1902078,,,0
HS,2018,201806,June 2018,6,1,1,Imports,31,Azerbaijan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,605,,315625,,,0
HS,2018,201806,June 2018,6,1,1,Imports,31,Azerbaijan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,4871,,,0
HS,2018,201807,July 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,673,,97672,,,0
HS,2018,201807,July 2018,6,1,1,Imports,31,Azerbaijan,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,12,,,0
HS,2018,201807,July 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,42270,,,0
HS,2018,201807,July 2018,6,1,1,Imports,31,Azerbaijan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,620,,55390,,,0
HS,2018,201803,March 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,3258,,,0
HS,2018,201804,April 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,608,,130431,,,0
HS,2018,201801,January 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,154,,87011,,,0
HS,2018,201805,May 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1010,,175953,,,0
HS,2018,201803,March 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,3258,,,0
HS,2018,201801,January 2018,6,1,1,Imports,31,Azerbaijan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,16001,,,0
HS,2018,201801,January 2018,6,1,1,Imports,31,Azerbaijan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,54861,,,0
HS,2018,201802,February 2018,6,1,1,Imports,31,Azerbaijan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,17659,,,0
HS,2018,201805,May 2018,6,1,1,Imports,31,Azerbaijan,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,79,,7730,,,0
HS,2018,201805,May 2018,6,1,1,Imports,31,Azerbaijan,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,931,,168223,,,0
HS,2018,201808,August 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,613,,999980,,,0
HS,2018,201808,August 2018,6,1,1,Imports,31,Azerbaijan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,605,,994675,,,0
HS,2018,201808,August 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,5305,,,0
HS,2018,201812,December 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,106,,47971,,,0
HS,2018,201812,December 2018,6,1,1,Imports,31,Azerbaijan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,16564,,,0
HS,2018,201812,December 2018,6,1,1,Imports,31,Azerbaijan,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,18152,,,0
HS,2018,201812,December 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,13255,,,0
HS,2018,201811,November 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,447,,119322,,,0
HS,2018,201811,November 2018,6,1,1,Imports,31,Azerbaijan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,40690,,,0
HS,2018,201811,November 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,186,,25583,,,0
HS,2018,201810,October 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3045,,420200,,,0
HS,2018,201810,October 2018,6,1,1,Imports,31,Azerbaijan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,20440,,,0
HS,2018,201810,October 2018,6,1,1,Imports,31,Azerbaijan,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2978,,399760,,,0
HS,2018,201809,September 2018,6,1,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1045,,438680,,,0
HS,2018,201809,September 2018,6,1,1,Imports,31,Azerbaijan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,63204,,,0
HS,2018,201809,September 2018,6,1,1,Imports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,985,,375476,,,0
