Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201805,May 2018,6,1,1,Imports,52,Barbados,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,217,,30505,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,92,,27066,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,52,Barbados,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,24121,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,28,Antigua and Barbuda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2233,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,52,Barbados,,28,Antigua and Barbuda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2233,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4804,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,52,Barbados,,44,Bahamas,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4804,,,0
HS,2018,201805,May 2018,6,1,1,Imports,52,Barbados,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,236,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,92,Br. Virgin Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,2952,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,52,Barbados,,92,Br. Virgin Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,2952,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,212,Dominica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2796,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,308,Grenada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,12900,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,52,Barbados,,308,Grenada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,12900,,,0
HS,2018,201805,May 2018,6,1,1,Imports,52,Barbados,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,3316,,,0
HS,2018,201805,May 2018,6,1,1,Imports,52,Barbados,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,1330,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,659,Saint Kitts and Nevis,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,149,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,662,Saint Lucia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,744,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,52,Barbados,,662,Saint Lucia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,744,,,0
HS,2018,201805,May 2018,6,1,2,Exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,489,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,489,,,0
HS,2018,201805,May 2018,6,1,1,Imports,52,Barbados,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,4190,,,0
HS,2018,201805,May 2018,6,1,1,Imports,52,Barbados,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3567,,,0
HS,2018,201805,May 2018,6,1,1,Imports,52,Barbados,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,17867,,,0
HS,2018,201812,December 2018,6,1,2,Exports,52,Barbados,,662,Saint Lucia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,826,,,0
HS,2018,201812,December 2018,6,1,3,Re-exports,52,Barbados,,662,Saint Lucia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,826,,,0
HS,2018,201812,December 2018,6,1,2,Exports,52,Barbados,,28,Antigua and Barbuda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,9504,,,0
HS,2018,201812,December 2018,6,1,2,Exports,52,Barbados,,212,Dominica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1474,,,0
HS,2018,201812,December 2018,6,1,3,Re-exports,52,Barbados,,212,Dominica,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,1474,,,0
