Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,112,Belarus,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,7400,,,0
HS,2018,201801,January 2018,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,621,,64400,,,0
HS,2018,201802,February 2018,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2700,,,0
HS,2018,201812,December 2018,6,1,1,Imports,112,Belarus,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,106800,,,0
HS,2018,201812,December 2018,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,387,,13200,,,0
HS,2018,201812,December 2018,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4255,,1620300,,,0
HS,2018,201812,December 2018,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4648,,1740300,,,0
HS,2018,201810,October 2018,6,1,1,Imports,112,Belarus,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2400,,,0
HS,2018,201810,October 2018,6,1,1,Imports,112,Belarus,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,24700,,,0
HS,2018,201810,October 2018,6,1,1,Imports,112,Belarus,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,116600,,,0
HS,2018,201810,October 2018,6,1,1,Imports,112,Belarus,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5912,,2298300,,,0
HS,2018,201810,October 2018,6,1,1,Imports,112,Belarus,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,6100,,,0
HS,2018,201810,October 2018,6,1,1,Imports,112,Belarus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,242,,148500,,,0
HS,2018,201810,October 2018,6,1,1,Imports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6182,,2596600,,,0
HS,2018,201810,October 2018,6,1,2,Exports,112,Belarus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,2400,,,0
