Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201804,April 2018,6,1,1,Imports,60,Bermuda,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,15360,,,0
HS,2018,201807,July 2018,6,1,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2302,,,0
HS,2018,201805,May 2018,6,1,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,830,,,0
HS,2018,201801,January 2018,6,1,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,841,,,0
HS,2018,201810,October 2018,6,1,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,990,,,0
HS,2018,201803,March 2018,6,1,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,10150,,,0
HS,2018,201802,February 2018,6,1,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,418,,,0
HS,2018,201809,September 2018,6,1,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,1462,,,0
HS,2018,201810,October 2018,6,1,1,Imports,60,Bermuda,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,458,,,0
HS,2018,201803,March 2018,6,1,1,Imports,60,Bermuda,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,641,,,0
HS,2018,201806,June 2018,6,1,1,Imports,60,Bermuda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,340,,,0
HS,2018,201807,July 2018,6,1,1,Imports,60,Bermuda,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,29,,,0
HS,2018,201806,June 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,231,,33601,,,0
HS,2018,201801,January 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,138,,28640,,,0
HS,2018,201812,December 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,284,,37673,,,0
HS,2018,201810,October 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,377,,23332,,,0
HS,2018,201803,March 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,13917,,,0
HS,2018,201802,February 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,418,,,0
HS,2018,201809,September 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,10403,,,0
HS,2018,201807,July 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,339,,13392,,,0
HS,2018,201804,April 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,307,,42604,,,0
HS,2018,201805,May 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,82,,14776,,,0
HS,2018,201808,August 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,326,,43769,,,0
HS,2018,201811,November 2018,6,1,1,Imports,60,Bermuda,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,12739,,,0
HS,2018,201808,August 2018,6,1,1,Imports,60,Bermuda,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,6090,,,0
HS,2018,201809,September 2018,6,1,1,Imports,60,Bermuda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2508,,,0
HS,2018,201804,April 2018,6,1,1,Imports,60,Bermuda,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,3762,,,0
HS,2018,201807,July 2018,6,1,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,323,,11062,,,0
HS,2018,201804,April 2018,6,1,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,136,,13462,,,0
HS,2018,201805,May 2018,6,1,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,3985,,,0
HS,2018,201808,August 2018,6,1,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,107,,10479,,,0
HS,2018,201811,November 2018,6,1,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,8989,,,0
HS,2018,201806,June 2018,6,1,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,68,,8952,,,0
HS,2018,201801,January 2018,6,1,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,22399,,,0
