Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3931,,4097282,,,0
HS,2018,201809,September 2018,6,1,1,Imports,100,Bulgaria,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29989,,268367,,,0
HS,2018,201809,September 2018,6,1,1,Imports,100,Bulgaria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,38350,,,0
HS,2018,201803,March 2018,6,1,1,Imports,100,Bulgaria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,22855,,,0
HS,2018,201803,March 2018,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2573,,2023848,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,840,,335664,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,391,,490891,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,807,TFYR of Macedonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1065,,196108,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2776,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1084,,667775,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6813,,3698533,,,0
HS,2018,201803,March 2018,6,1,1,Imports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2594,,2046703,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,292,Gibraltar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,8233,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,2044,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,2374,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,70,Bosnia Herzegovina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,71,,29451,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,209,,143001,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,636,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,178,Congo,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,72,,8415,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,374,,819379,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,5798,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,218,Ecuador,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,1743,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,266,Gabon,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,100,,4932,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,268,Georgia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,137,,58845,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,795,Turkmenistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,873,,53691,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,32565,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,404,Kenya,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,270,,10084,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,854,,321832,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,181,,326944,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,480,Mauritius,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,269,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,498,Rep. of Moldova,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,124,,168335,,,0
HS,2018,201803,March 2018,6,1,2,Exports,100,Bulgaria,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,6750,,,0
HS,2018,201811,November 2018,6,1,1,Imports,100,Bulgaria,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86,,65296,,,0
HS,2018,201811,November 2018,6,1,1,Imports,100,Bulgaria,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,575,,407772,,,0
HS,2018,201811,November 2018,6,1,1,Imports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2403,,1525219,,,0
HS,2018,201811,November 2018,6,1,1,Imports,100,Bulgaria,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1612,,968387,,,0
HS,2018,201811,November 2018,6,1,1,Imports,100,Bulgaria,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,130,,83764,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,126977,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,807,TFYR of Macedonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87,,33896,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,4049,,,0
HS,2018,201811,November 2018,6,1,2,Exports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8155,,1403658,,,0
HS,2018,201809,September 2018,6,1,1,Imports,100,Bulgaria,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,560,,180620,,,0
HS,2018,201809,September 2018,6,1,1,Imports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34529,,4584619,,,0
HS,2018,201809,September 2018,6,1,2,Exports,100,Bulgaria,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1391,,667617,,,0
HS,2018,201809,September 2018,6,1,2,Exports,100,Bulgaria,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11772,,3151579,,,0
HS,2018,201809,September 2018,6,1,2,Exports,100,Bulgaria,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,95558,,,0
HS,2018,201809,September 2018,6,1,2,Exports,100,Bulgaria,,807,TFYR of Macedonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,11740,,,0
HS,2018,201809,September 2018,6,1,2,Exports,100,Bulgaria,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,6526,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,292,Gibraltar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,51789,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,3285,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,783,,90246,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2630,,103653,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,704,Viet Nam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3079,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,792,Turkey,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,964,,400346,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,804,Ukraine,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,296,,35331,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,761,,228761,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,430,Liberia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,260,,12780,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,454,Malawi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,393,,46251,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,191,,565621,,,0
HS,2018,201801,January 2018,6,1,2,Exports,100,Bulgaria,,112,Belarus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,30470,,,0
