Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,47759955,,,0
HS,2018,201801,January 2018,6,1,4,Re-imports,124,Canada,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,842864,,,0
HS,2018,201801,January 2018,6,1,2,Exports,124,Canada,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,46484103,,,0
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8158130,,,0
HS,2018,201801,January 2018,6,1,2,Exports,124,Canada,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,35631088,,,0
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1688504,,,0
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8545052,,,0
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,842864,,,0
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,74,,,0
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,20,,,0
HS,2018,201801,January 2018,6,1,1,Imports,124,Canada,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16179552,,,0
HS,2018,201809,September 2018,6,1,3,Re-exports,124,Canada,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,57562,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,36660276,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2905747,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,29093993,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,858,Uruguay,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2835,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1940915,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,332,Haiti,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,64113,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,376,Israel,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1995428,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,780,Trinidad and Tobago,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,42502,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,784,United Arab Emirates,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,509846,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,22795,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,116,Cambodia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,14215,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,214,Dominican Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,45173,,,0
HS,2018,201811,November 2018,6,1,2,Exports,124,Canada,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,22714,,,0
HS,2018,201811,November 2018,6,1,4,Re-imports,124,Canada,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,497434,,,0
HS,2018,201811,November 2018,6,1,1,Imports,124,Canada,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,359,,,0
HS,2018,201811,November 2018,6,1,1,Imports,124,Canada,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,497434,,,0
