Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,521,,444469,,,0
HS,2018,201811,November 2018,6,1,1,Imports,152,Chile,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3840,,2637438,,,0
HS,2018,201811,November 2018,6,1,1,Imports,152,Chile,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,4830,,,0
HS,2018,201811,November 2018,6,1,1,Imports,152,Chile,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,147,,19000,,,0
HS,2018,201803,March 2018,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,460,,148400,,,0
HS,2018,201803,March 2018,6,1,1,Imports,152,Chile,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1036,,4019150,,,0
HS,2018,201803,March 2018,6,1,1,Imports,152,Chile,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,743,,199050,,,0
HS,2018,201803,March 2018,6,1,1,Imports,152,Chile,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1296,,96861,,,0
HS,2018,201811,November 2018,6,1,1,Imports,152,Chile,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1461,,573412,,,0
HS,2018,201811,November 2018,6,1,1,Imports,152,Chile,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,104,,,0
HS,2018,201808,August 2018,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,12197,,,0
HS,2018,201807,July 2018,6,1,1,Imports,152,Chile,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,518,,470349,,,0
HS,2018,201807,July 2018,6,1,1,Imports,152,Chile,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8638,,2446210,,,0
HS,2018,201807,July 2018,6,1,1,Imports,152,Chile,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,345,,111300,,,0
