Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201808,August 2018,6,1,1,Imports,446,"China, Macao SAR",,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,123688,,,0
HS,2018,201801,January 2018,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,36570,,,0
HS,2018,201809,September 2018,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,36476,,,0
HS,2018,201808,August 2018,6,1,1,Imports,446,"China, Macao SAR",,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,36432,,,0
HS,2018,201810,October 2018,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1599,,1610195,,,0
HS,2018,201808,August 2018,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,416863,,,0
HS,2018,201801,January 2018,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,558554,,,0
HS,2018,201802,February 2018,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1147114,,,0
HS,2018,201812,December 2018,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,372,,1835583,,,0
HS,2018,201809,September 2018,6,1,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1449,,1707794,,,0
