Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,170,Colombia,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,32133,,,0
HS,2018,201802,February 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,647,,232636,,,0
HS,2018,201809,September 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,233,,56287,,,0
HS,2018,201809,September 2018,6,1,1,Imports,170,Colombia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,494,,546682,,,0
HS,2018,201809,September 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3788,,3082927,,,0
HS,2018,201809,September 2018,6,1,1,Imports,170,Colombia,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,99,,73085,,,0
HS,2018,201809,September 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6133,,1438078,,,0
HS,2018,201809,September 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4279,,4240086,,,0
HS,2018,201809,September 2018,6,1,1,Imports,170,Colombia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,18711,,,0
HS,2018,201803,March 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7159,,1344695,,,0
HS,2018,201803,March 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,196,,120574,,,0
HS,2018,201803,March 2018,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9569,,3561062,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1808,,1227946,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,198,,103785,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,32150,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,707,,103551,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,240,,312029,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,422,,298605,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,131,,92071,,,0
HS,2018,201810,October 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,8602,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,240,,311272,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13169,,14067266,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,44881,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,146,,108565,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4814,,3964564,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6283,,1030983,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7188,,7337270,,,0
HS,2018,201812,December 2018,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31964,,26864802,,,0
HS,2018,201811,November 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,710,,324916,,,0
HS,2018,201811,November 2018,6,1,1,Imports,170,Colombia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,138,,167562,,,0
HS,2018,201811,November 2018,6,1,1,Imports,170,Colombia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34,,40443,,,0
HS,2018,201811,November 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,632,,260905,,,0
HS,2018,201811,November 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8354,,1517707,,,0
HS,2018,201811,November 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4062,,2814876,,,0
HS,2018,201811,November 2018,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13930,,5126411,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,230,,309382,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,435,,459449,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,276,,250347,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1263,,195191,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1483,,582405,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,937,,1337582,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5095,,474521,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3199,,1122397,,,0
HS,2018,201806,June 2018,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12918,,4731274,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4156,,8634437,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,16109,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86,,83788,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,410,,98827,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,156,,27214,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2516,,579448,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,945,,314372,,,0
HS,2018,201808,August 2018,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8283,,9754195,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11089,,6195144,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,41758,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,31035,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,407,,472880,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6407,,767635,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2210,,1594060,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3318,,3060725,,,0
HS,2018,201807,July 2018,6,1,1,Imports,170,Colombia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23484,,12163237,,,0
HS,2018,201804,April 2018,6,1,1,Imports,170,Colombia,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,150,,205782,,,0
HS,2018,201804,April 2018,6,1,1,Imports,170,Colombia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5485,,8746014,,,0
HS,2018,201804,April 2018,6,1,1,Imports,170,Colombia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,31035,,,0
HS,2018,201804,April 2018,6,1,1,Imports,170,Colombia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,486,,552566,,,0
HS,2018,201804,April 2018,6,1,1,Imports,170,Colombia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,371,,168850,,,0
HS,2018,201804,April 2018,6,1,1,Imports,170,Colombia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1098,,294282,,,0
HS,2018,201804,April 2018,6,1,1,Imports,170,Colombia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8273,,957103,,,0
