Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,188,Costa Rica,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,808,,470843,,,0
HS,2018,201801,January 2018,6,1,1,Imports,188,Costa Rica,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,380,,342769,,,0
HS,2018,201801,January 2018,6,1,1,Imports,188,Costa Rica,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,19504,,,0
HS,2018,201801,January 2018,6,1,1,Imports,188,Costa Rica,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,90,,22169,,,0
HS,2018,201801,January 2018,6,1,1,Imports,188,Costa Rica,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,280,,42405,,,0
HS,2018,201801,January 2018,6,1,1,Imports,188,Costa Rica,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2916,,,0
HS,2018,201802,February 2018,6,1,1,Imports,188,Costa Rica,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,28508,,,0
HS,2018,201802,February 2018,6,1,1,Imports,188,Costa Rica,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,5997,,,0
HS,2018,201802,February 2018,6,1,1,Imports,188,Costa Rica,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,8342,,,0
HS,2018,201802,February 2018,6,1,1,Imports,188,Costa Rica,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,136,,85322,,,0
HS,2018,201802,February 2018,6,1,1,Imports,188,Costa Rica,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,68,,42476,,,0
HS,2018,201801,January 2018,6,1,1,Imports,188,Costa Rica,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,41080,,,0
