Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,25832,,,0
HS,2018,201812,December 2018,6,1,1,Imports,191,Croatia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,7818,,,0
HS,2018,201812,December 2018,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,20034,,,0
HS,2018,201806,June 2018,6,1,1,Imports,191,Croatia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,39955,,,0
HS,2018,201806,June 2018,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,430,,674153,,,0
HS,2018,201801,January 2018,6,1,1,Imports,191,Croatia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,185733,,,0
HS,2018,201801,January 2018,6,1,1,Imports,191,Croatia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,60393,,,0
HS,2018,201801,January 2018,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2637,,,0
HS,2018,201801,January 2018,6,1,1,Imports,191,Croatia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,348,,95872,,,0
HS,2018,201801,January 2018,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,429,,359292,,,0
HS,2018,201806,June 2018,6,1,1,Imports,191,Croatia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,12457,,,0
HS,2018,201806,June 2018,6,1,1,Imports,191,Croatia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1978,,1040868,,,0
HS,2018,201801,January 2018,6,1,1,Imports,191,Croatia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,14657,,,0
HS,2018,201806,June 2018,6,1,1,Imports,191,Croatia,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,10696,,,0
