Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201811,November 2018,6,1,2,Exports,196,Cyprus,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,435,,,0
HS,2018,201809,September 2018,6,1,1,Imports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6458,,1041312,,,0
HS,2018,201807,July 2018,6,1,1,Imports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1957,,1454732,,,0
HS,2018,201806,June 2018,6,1,1,Imports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1846,,828874,,,0
HS,2018,201812,December 2018,6,1,1,Imports,196,Cyprus,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,537,,391770,,,0
HS,2018,201811,November 2018,6,1,1,Imports,196,Cyprus,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,285,,143004,,,0
HS,2018,201801,January 2018,6,1,2,Exports,196,Cyprus,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,660,,,0
HS,2018,201801,January 2018,6,1,3,Re-exports,196,Cyprus,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,660,,,0
HS,2018,201801,January 2018,6,1,2,Exports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,660,,,0
HS,2018,201801,January 2018,6,1,3,Re-exports,196,Cyprus,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,660,,,0
HS,2018,201801,January 2018,6,1,1,Imports,196,Cyprus,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,738,,418205,,,0
HS,2018,201801,January 2018,6,1,1,Imports,196,Cyprus,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,40848,,,0
HS,2018,201801,January 2018,6,1,1,Imports,196,Cyprus,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,460,,45098,,,0
HS,2018,201801,January 2018,6,1,1,Imports,196,Cyprus,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,491,,,0
HS,2018,201801,January 2018,6,1,1,Imports,196,Cyprus,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,285,,,0
HS,2018,201801,January 2018,6,1,1,Imports,196,Cyprus,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1588,,515803,,,0
