Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,6,1,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,843,,1845826,,,0
HS,2018,201809,September 2018,6,1,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14644,,13114164,,,0
HS,2018,201809,September 2018,6,1,1,Imports,203,Czech Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,218,,312283,,,0
HS,2018,201809,September 2018,6,1,1,Imports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,233648,,,0
HS,2018,201809,September 2018,6,1,1,Imports,203,Czech Rep.,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1028,,2571860,,,0
HS,2018,201809,September 2018,6,1,1,Imports,203,Czech Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3386,,1821577,,,0
HS,2018,201809,September 2018,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,9524,,,0
HS,2018,201809,September 2018,6,1,2,Exports,203,Czech Rep.,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2473,,,0
HS,2018,201809,September 2018,6,1,2,Exports,203,Czech Rep.,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,138,,234559,,,0
HS,2018,201806,June 2018,6,1,2,Exports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,532,,974720,,,0
HS,2018,201806,June 2018,6,1,2,Exports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,26458,,,0
HS,2018,201806,June 2018,6,1,2,Exports,203,Czech Rep.,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2403,,,0
HS,2018,201808,August 2018,6,1,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,755,,1390424,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,75820,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,59690,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,693,,1711721,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,30596,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,21,,45265,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,76,,182742,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,65162,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,67120,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,234,,342630,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,17,,37205,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2897,,2009920,,,0
HS,2018,201808,August 2018,6,1,1,Imports,203,Czech Rep.,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,101,,526953,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,18024,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2243,,1703976,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,86651,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10208,,5215422,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,200,,302649,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,41442,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,33941,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,13034,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,554,,357113,,,0
HS,2018,201801,January 2018,6,1,2,Exports,203,Czech Rep.,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,6536,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,24474,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,5287,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,47918,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,19899,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,48,,114690,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,20497,,,0
HS,2018,201811,November 2018,6,1,1,Imports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,238128,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,27470,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1979,,3243631,,,0
HS,2018,201812,December 2018,6,1,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,840,,1437921,,,0
HS,2018,201801,January 2018,6,1,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6271,,9275604,,,0
HS,2018,201811,November 2018,6,1,2,Exports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,679,,1157464,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,123514,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1080,,1476743,,,0
HS,2018,201807,July 2018,6,1,2,Exports,203,Czech Rep.,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,88225,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1935,,1351708,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,24980,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,46719,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,16776,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8,,17512,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,8552,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,409,,326098,,,0
HS,2018,201804,April 2018,6,1,2,Exports,203,Czech Rep.,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,7080,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3275,,1668094,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5094,,2232010,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,572,,798121,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,72666,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,60182,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,4830,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,43799,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,77932,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,32485,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,158,,358107,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,23369,,,0
HS,2018,201812,December 2018,6,1,2,Exports,203,Czech Rep.,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,4536,,,0
HS,2018,201802,February 2018,6,1,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18178,,15588519,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,325,,875346,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,55993,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,137,,194568,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,46388,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,170461,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,24968,,,0
HS,2018,201804,April 2018,6,1,2,Exports,203,Czech Rep.,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,130,,189468,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3724,,2941298,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,227411,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,29666,,,0
HS,2018,201811,November 2018,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,34456,,,0
HS,2018,201811,November 2018,6,1,1,Imports,203,Czech Rep.,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,283,,641327,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,30101,,,0
HS,2018,201803,March 2018,6,1,1,Imports,203,Czech Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2140,,1741303,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,48476,,,0
HS,2018,201807,July 2018,6,1,1,Imports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,206,,139400,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,6427,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,159061,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,17255,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1195,,,0
HS,2018,201810,October 2018,6,1,1,Imports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1747,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,65641,,,0
HS,2018,201811,November 2018,6,1,1,Imports,203,Czech Rep.,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,317,,718826,,,0
HS,2018,201804,April 2018,6,1,2,Exports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,540,,740483,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,12947,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,9228,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,75061,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,15675,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,33026,,,0
HS,2018,201812,December 2018,6,1,2,Exports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,489,,1140556,,,0
HS,2018,201804,April 2018,6,1,2,Exports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,17302,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,34904,,,0
HS,2018,201804,April 2018,6,1,1,Imports,203,Czech Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,43777,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,29658,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,267,,201493,,,0
HS,2018,201807,July 2018,6,1,1,Imports,203,Czech Rep.,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,21456,,,0
HS,2018,201812,December 2018,6,1,2,Exports,203,Czech Rep.,,703,Slovakia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,29143,,,0
HS,2018,201806,June 2018,6,1,1,Imports,203,Czech Rep.,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,91154,,,0
HS,2018,201807,July 2018,6,1,1,Imports,203,Czech Rep.,,642,Romania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,5918,,,0
