Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201804,April 2018,6,1,2,Exports,208,Denmark,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,278333,,,0
HS,2018,201804,April 2018,6,1,2,Exports,208,Denmark,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1240,,5659217,,,0
HS,2018,201805,May 2018,6,1,1,Imports,208,Denmark,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,42,,127976,,,0
HS,2018,201812,December 2018,6,1,1,Imports,208,Denmark,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,200,,,0
HS,2018,201812,December 2018,6,1,1,Imports,208,Denmark,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,161,,188453,,,0
HS,2018,201807,July 2018,6,1,1,Imports,208,Denmark,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2014,,847064,,,0
HS,2018,201808,August 2018,6,1,1,Imports,208,Denmark,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,11,,,0
HS,2018,201810,October 2018,6,1,1,Imports,208,Denmark,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1802,,814564,,,0
HS,2018,201804,April 2018,6,1,2,Exports,208,Denmark,,304,Greenland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,123676,,,0
HS,2018,201804,April 2018,6,1,2,Exports,208,Denmark,,234,Faeroe Isds,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,259,,27276,,,0
