Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,823542,,,0
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,36816,,,0
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,103411,,,0
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,126856,,,0
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4658,,,0
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,377988,,,0
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,173404,,,0
HS,2018,201802,February 2018,6,1,1,Imports,214,Dominican Rep.,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,410,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4541368,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,28322,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,172978,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,31398,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,164844,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,19651,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,60397,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,46561,,,0
HS,2018,201801,January 2018,6,1,1,Imports,214,Dominican Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4017217,,,0
HS,2018,201803,March 2018,6,1,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,561791,,,0
HS,2018,201803,March 2018,6,1,1,Imports,214,Dominican Rep.,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,29850,,,0
HS,2018,201803,March 2018,6,1,1,Imports,214,Dominican Rep.,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,98083,,,0
HS,2018,201803,March 2018,6,1,1,Imports,214,Dominican Rep.,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,55254,,,0
HS,2018,201803,March 2018,6,1,1,Imports,214,Dominican Rep.,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,205165,,,0
HS,2018,201803,March 2018,6,1,1,Imports,214,Dominican Rep.,,591,Panama,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,169422,,,0
HS,2018,201803,March 2018,6,1,1,Imports,214,Dominican Rep.,,192,Cuba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4016,,,0
