Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2210,,160594,,,0
HS,2018,201802,February 2018,6,1,2,Exports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,47500,,,0
HS,2018,201802,February 2018,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1313,,61272,,,0
HS,2018,201802,February 2018,6,1,1,Imports,222,El Salvador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,699,,47981,,,0
HS,2018,201802,February 2018,6,1,2,Exports,222,El Salvador,,320,Guatemala,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,47500,,,0
HS,2018,201802,February 2018,6,1,1,Imports,222,El Salvador,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,83,,23084,,,0
HS,2018,201802,February 2018,6,1,1,Imports,222,El Salvador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,115,,28257,,,0
HS,2018,201804,April 2018,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2965,,494140,,,0
HS,2018,201804,April 2018,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,138,,,0
HS,2018,201804,April 2018,6,1,1,Imports,222,El Salvador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,479,,202177,,,0
HS,2018,201804,April 2018,6,1,1,Imports,222,El Salvador,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,278,,46178,,,0
HS,2018,201804,April 2018,6,1,1,Imports,222,El Salvador,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2207,,245647,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,798,,70411,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,227,,47205,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,460,,112398,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,64,,14160,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6156,,730282,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,15623,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,770,,147915,,,0
HS,2018,201803,March 2018,6,1,1,Imports,222,El Salvador,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9860,,1247046,,,0
