Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,2,Exports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,5253,,,0
HS,2018,201804,April 2018,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,3904,,,0
HS,2018,201805,May 2018,6,1,2,Exports,233,Estonia,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,10280,,,0
HS,2018,201805,May 2018,6,1,1,Imports,233,Estonia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,5909,,,0
HS,2018,201807,July 2018,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,114314,,,0
HS,2018,201802,February 2018,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,56,,,0
HS,2018,201801,January 2018,6,1,2,Exports,233,Estonia,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,5253,,,0
HS,2018,201802,February 2018,6,1,1,Imports,233,Estonia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,4844,,,0
HS,2018,201802,February 2018,6,1,1,Imports,233,Estonia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,138,,156692,,,0
HS,2018,201806,June 2018,6,1,2,Exports,233,Estonia,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,7483,,,0
HS,2018,201804,April 2018,6,1,2,Exports,233,Estonia,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,10586,,,0
HS,2018,201806,June 2018,6,1,1,Imports,233,Estonia,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2634,,,0
HS,2018,201801,January 2018,6,1,1,Imports,233,Estonia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,110,,,0
HS,2018,201802,February 2018,6,1,1,Imports,233,Estonia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,144,,184344,,,0
