Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,787,,1389496,,,0
HS,2018,201810,October 2018,6,1,1,Imports,246,Finland,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,420,,90779,,,0
HS,2018,201810,October 2018,6,1,1,Imports,246,Finland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2636,,835997,,,0
HS,2018,201810,October 2018,6,1,2,Exports,246,Finland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,221498,,,0
HS,2018,201810,October 2018,6,1,2,Exports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,121,,221498,,,0
HS,2018,201807,July 2018,6,1,1,Imports,246,Finland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1224,,395604,,,0
HS,2018,201807,July 2018,6,1,1,Imports,246,Finland,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,367,,574735,,,0
HS,2018,201803,March 2018,6,1,1,Imports,246,Finland,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2037,,,0
HS,2018,201805,May 2018,6,1,1,Imports,246,Finland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,162,,111888,,,0
HS,2018,201805,May 2018,6,1,1,Imports,246,Finland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,5320,,,0
HS,2018,201805,May 2018,6,1,1,Imports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1515,,1588943,,,0
HS,2018,201812,December 2018,6,1,1,Imports,246,Finland,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,39843,,,0
HS,2018,201812,December 2018,6,1,1,Imports,246,Finland,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,300,,549478,,,0
HS,2018,201802,February 2018,6,1,1,Imports,246,Finland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2475,,3182429,,,0
HS,2018,201802,February 2018,6,1,1,Imports,246,Finland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1062,,1113900,,,0
HS,2018,201802,February 2018,6,1,2,Exports,246,Finland,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,49,,,0
