Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,2,Exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,212,,78934,,,0
HS,2018,201810,October 2018,6,1,3,Re-exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,212,,78934,,,0
HS,2018,201810,October 2018,6,1,3,Re-exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,212,,78934,,,0
HS,2018,201810,October 2018,6,1,2,Exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,212,,78934,,,0
HS,2018,201802,February 2018,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,41243,,,0
HS,2018,201802,February 2018,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,41243,,,0
HS,2018,201811,November 2018,6,1,1,Imports,268,Georgia,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,3235,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,379,,326145,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,275,,163540,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,300,,,0
HS,2018,201811,November 2018,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,16515,,,0
HS,2018,201811,November 2018,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,19750,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,18566,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2758,,,0
HS,2018,201807,July 2018,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1570,,181003,,,0
HS,2018,201812,December 2018,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,15425,,,0
HS,2018,201812,December 2018,6,1,2,Exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,2640,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,295,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1663,,,0
HS,2018,201812,December 2018,6,1,1,Imports,268,Georgia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,5740,,,0
HS,2018,201807,July 2018,6,1,2,Exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1986,,,0
HS,2018,201807,July 2018,6,1,3,Re-exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1986,,,0
HS,2018,201805,May 2018,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,983,,513267,,,0
HS,2018,201809,September 2018,6,1,1,Imports,268,Georgia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,404,,55108,,,0
HS,2018,201807,July 2018,6,1,2,Exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1986,,,0
HS,2018,201807,July 2018,6,1,3,Re-exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1986,,,0
HS,2018,201805,May 2018,6,1,2,Exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,356,,33306,,,0
HS,2018,201809,September 2018,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,55,,15834,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,21606,,,0
HS,2018,201812,December 2018,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,319,,392988,,,0
HS,2018,201805,May 2018,6,1,2,Exports,268,Georgia,,860,Uzbekistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,36,,11700,,,0
HS,2018,201812,December 2018,6,1,1,Imports,268,Georgia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,92,,7681,,,0
HS,2018,201805,May 2018,6,1,2,Exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,21606,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,268,Georgia,,31,Azerbaijan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,320,,21606,,,0
HS,2018,201812,December 2018,6,1,1,Imports,268,Georgia,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,770,,247897,,,0
HS,2018,201812,December 2018,6,1,2,Exports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,10574,,,0
HS,2018,201809,September 2018,6,1,1,Imports,268,Georgia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,754,,118736,,,0
HS,2018,201809,September 2018,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1213,,189677,,,0
HS,2018,201801,January 2018,6,1,1,Imports,268,Georgia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,380,,264227,,,0
HS,2018,201806,June 2018,6,1,1,Imports,268,Georgia,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,53,,18835,,,0
HS,2018,201806,June 2018,6,1,1,Imports,268,Georgia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,271,,93085,,,0
