Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2357,,1186105,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,128,,141092,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,65,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,203,Czech Rep.,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,327,,563882,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,2688,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,111,,64835,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,44,,15662,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,514,,1098489,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,428,Latvia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,22900,,,0
HS,2018,201802,February 2018,6,1,1,Imports,276,Germany,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,68,,92121,,,0
