Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201811,November 2018,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,800,,1436455,,,0
HS,2018,201811,November 2018,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8134,,11182857,,,0
HS,2018,201811,November 2018,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61,,47171,,,0
HS,2018,201811,November 2018,6,1,2,Exports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,2302,,,0
HS,2018,201808,August 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4010,,4485064,,,0
HS,2018,201808,August 2018,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,400,,609482,,,0
HS,2018,201807,July 2018,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,109396,,,0
HS,2018,201807,July 2018,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,50,,109396,,,0
HS,2018,201807,July 2018,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,216,,45707,,,0
HS,2018,201807,July 2018,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,580,,1547239,,,0
HS,2018,201807,July 2018,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9933,,13889864,,,0
HS,2018,201807,July 2018,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4056,,4056818,,,0
HS,2018,201807,July 2018,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3899,,5318388,,,0
HS,2018,201807,July 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1182,,2921712,,,0
HS,2018,201812,December 2018,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,109,,283886,,,0
HS,2018,201812,December 2018,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,201,,432478,,,0
HS,2018,201812,December 2018,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,9106,,,0
HS,2018,201812,December 2018,6,1,1,Imports,300,Greece,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31,,5464,,,0
HS,2018,201812,December 2018,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3356,,2157472,,,0
HS,2018,201812,December 2018,6,1,2,Exports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1047,,,0
HS,2018,201812,December 2018,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,89,,147545,,,0
HS,2018,201812,December 2018,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2617,,1631001,,,0
HS,2018,201812,December 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,8198,,,0
HS,2018,201812,December 2018,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,62,,22432,,,0
HS,2018,201812,December 2018,6,1,1,Imports,300,Greece,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,451,,414734,,,0
HS,2018,201806,June 2018,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,292,,499707,,,0
HS,2018,201808,August 2018,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9580,,11924571,,,0
HS,2018,201808,August 2018,6,1,2,Exports,300,Greece,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,66,,78517,,,0
HS,2018,201808,August 2018,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,42318,,,0
HS,2018,201808,August 2018,6,1,2,Exports,300,Greece,,196,Cyprus,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,126,,150758,,,0
HS,2018,201808,August 2018,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,255,,271594,,,0
HS,2018,201808,August 2018,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2625,,2521969,,,0
HS,2018,201808,August 2018,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,16086,,,0
HS,2018,201808,August 2018,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2160,,4011610,,,0
HS,2018,201804,April 2018,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14784,,8927454,,,0
HS,2018,201801,January 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5458,,6624202,,,0
HS,2018,201801,January 2018,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1072,,2102452,,,0
HS,2018,201801,January 2018,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2001,,2845559,,,0
HS,2018,201802,February 2018,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,49,,59465,,,0
HS,2018,201802,February 2018,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,92743,,,0
HS,2018,201802,February 2018,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2668,,995505,,,0
HS,2018,201802,February 2018,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,120,,26699,,,0
HS,2018,201802,February 2018,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,208,,570619,,,0
HS,2018,201802,February 2018,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3637,,2173739,,,0
HS,2018,201803,March 2018,6,1,1,Imports,300,Greece,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,598,,595698,,,0
HS,2018,201803,March 2018,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2516,,1177802,,,0
HS,2018,201803,March 2018,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,1654,,,0
HS,2018,201803,March 2018,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,85,,25662,,,0
HS,2018,201803,March 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1442,,1127986,,,0
HS,2018,201803,March 2018,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,619,,1227664,,,0
HS,2018,201804,April 2018,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1400,,450466,,,0
HS,2018,201804,April 2018,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6940,,2017761,,,0
HS,2018,201804,April 2018,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,824,,,0
HS,2018,201804,April 2018,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,171,,32994,,,0
HS,2018,201804,April 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4722,,3954343,,,0
HS,2018,201804,April 2018,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1542,,2471065,,,0
HS,2018,201810,October 2018,6,1,2,Exports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86,,167182,,,0
HS,2018,201806,June 2018,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,113507,,,0
HS,2018,201806,June 2018,6,1,1,Imports,300,Greece,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2505,,1369878,,,0
HS,2018,201806,June 2018,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,451,,29721,,,0
HS,2018,201806,June 2018,6,1,1,Imports,300,Greece,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,391,,,0
HS,2018,201806,June 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1913,,2590210,,,0
HS,2018,201806,June 2018,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,850,,393295,,,0
HS,2018,201805,May 2018,6,1,2,Exports,300,Greece,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,77,,141809,,,0
HS,2018,201805,May 2018,6,1,2,Exports,300,Greece,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35,,3787,,,0
HS,2018,201805,May 2018,6,1,1,Imports,300,Greece,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,276,,66015,,,0
HS,2018,201805,May 2018,6,1,1,Imports,300,Greece,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73,,49235,,,0
HS,2018,201810,October 2018,6,1,1,Imports,300,Greece,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,644,,1189148,,,0
HS,2018,201810,October 2018,6,1,1,Imports,300,Greece,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4838,,6283090,,,0
HS,2018,201810,October 2018,6,1,1,Imports,300,Greece,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12877,,13458845,,,0
