Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,1,Imports,304,Greenland,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57,,7043,,,0
HS,2018,201801,January 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,27620,,,0
HS,2018,201809,September 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,340,,72172,,,0
HS,2018,201805,May 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,195,,58832,,,0
HS,2018,201812,December 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,129,,42931,,,0
HS,2018,201810,October 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,672,,106469,,,0
HS,2018,201802,February 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,18573,,,0
HS,2018,201808,August 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,28262,,,0
HS,2018,201804,April 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,134715,,,0
HS,2018,201803,March 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,243,,70787,,,0
HS,2018,201806,June 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,167,,30797,,,0
HS,2018,201807,July 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,173,,42900,,,0
HS,2018,201811,November 2018,6,1,1,Imports,304,Greenland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,36587,,,0
HS,2018,201801,January 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,80,,27620,,,0
HS,2018,201809,September 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,340,,72172,,,0
HS,2018,201805,May 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,195,,58832,,,0
HS,2018,201812,December 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,129,,42931,,,0
HS,2018,201808,August 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,110,,28262,,,0
HS,2018,201804,April 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,568,,134715,,,0
HS,2018,201810,October 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,615,,99425,,,0
HS,2018,201802,February 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,63,,18573,,,0
HS,2018,201803,March 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,243,,70787,,,0
HS,2018,201806,June 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,167,,30797,,,0
HS,2018,201807,July 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,173,,42900,,,0
HS,2018,201811,November 2018,6,1,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,140,,36587,,,0
