Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201805,May 2018,6,1,1,Imports,352,Iceland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,4423,,,0
HS,2018,201805,May 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,96496,,,0
HS,2018,201805,May 2018,6,1,1,Imports,352,Iceland,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,66,,,0
HS,2018,201801,January 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,133,,90782,,,0
HS,2018,201801,January 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,133,,90782,,,0
HS,2018,201803,March 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,102865,,,0
HS,2018,201803,March 2018,6,1,1,Imports,352,Iceland,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,2074,,,0
HS,2018,201808,August 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,131,,61608,,,0
HS,2018,201808,August 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,48084,,,0
HS,2018,201808,August 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,13524,,,0
HS,2018,201805,May 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,98,,56723,,,0
HS,2018,201807,July 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,224,,151747,,,0
HS,2018,201807,July 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,149,,96806,,,0
HS,2018,201807,July 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,75,,54941,,,0
HS,2018,201811,November 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,235,,137860,,,0
HS,2018,201811,November 2018,6,1,2,Exports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,248,,2001,,,0
HS,2018,201811,November 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,150,,77954,,,0
HS,2018,201811,November 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,74,,44393,,,0
HS,2018,201811,November 2018,6,1,1,Imports,352,Iceland,,579,Norway,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,13769,,,0
HS,2018,201811,November 2018,6,1,1,Imports,352,Iceland,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1745,,,0
HS,2018,201811,November 2018,6,1,2,Exports,352,Iceland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,248,,2001,,,0
HS,2018,201803,March 2018,6,1,1,Imports,352,Iceland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22,,3039,,,0
HS,2018,201803,March 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,125,,75369,,,0
HS,2018,201803,March 2018,6,1,2,Exports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,184,,,0
HS,2018,201803,March 2018,6,1,2,Exports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,184,,,0
HS,2018,201802,February 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,430,,210486,,,0
HS,2018,201802,February 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,158,,103825,,,0
HS,2018,201802,February 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,268,,105360,,,0
HS,2018,201802,February 2018,6,1,1,Imports,352,Iceland,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,1302,,,0
HS,2018,201809,September 2018,6,1,1,Imports,352,Iceland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,4244,,,0
HS,2018,201809,September 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,116,,65785,,,0
HS,2018,201809,September 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,38,,22844,,,0
HS,2018,201809,September 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,167,,92872,,,0
HS,2018,201804,April 2018,6,1,1,Imports,352,Iceland,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,895,,,0
HS,2018,201804,April 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,143,,136930,,,0
HS,2018,201804,April 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,67,,93160,,,0
HS,2018,201804,April 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,69,,42876,,,0
HS,2018,201810,October 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,220,,110234,,,0
HS,2018,201810,October 2018,6,1,2,Exports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,6,,,0
HS,2018,201810,October 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,157,,78946,,,0
HS,2018,201810,October 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,58,,30065,,,0
HS,2018,201810,October 2018,6,1,2,Exports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,6,,,0
HS,2018,201810,October 2018,6,1,1,Imports,352,Iceland,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,1223,,,0
HS,2018,201805,May 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,267,,157708,,,0
HS,2018,201812,December 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,142,,84869,,,0
HS,2018,201812,December 2018,6,1,2,Exports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,103,,,0
HS,2018,201812,December 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,105,,66462,,,0
HS,2018,201812,December 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,37,,18406,,,0
HS,2018,201812,December 2018,6,1,2,Exports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,58,,,0
HS,2018,201812,December 2018,6,1,2,Exports,352,Iceland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,46,,,0
HS,2018,201802,February 2018,6,1,2,Exports,352,Iceland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,37,,,0
HS,2018,201802,February 2018,6,1,2,Exports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,37,,,0
HS,2018,201806,June 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,175,,102705,,,0
HS,2018,201806,June 2018,6,1,2,Exports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,24905,,,0
HS,2018,201806,June 2018,6,1,1,Imports,352,Iceland,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,165,,94548,,,0
HS,2018,201806,June 2018,6,1,1,Imports,352,Iceland,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,8157,,,0
HS,2018,201806,June 2018,6,1,2,Exports,352,Iceland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,24905,,,0
HS,2018,201803,March 2018,6,1,1,Imports,352,Iceland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,201,,183347,,,0
