Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,July 2018,6,1,1,Imports,372,Ireland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,767,,1611210,,,0
HS,2018,201805,May 2018,6,1,2,Exports,372,Ireland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8276,,159292436,,,0
HS,2018,201805,May 2018,6,1,2,Exports,372,Ireland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29085,,704277413,,,0
HS,2018,201805,May 2018,6,1,2,Exports,372,Ireland,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15103,,23329676,,,0
HS,2018,201811,November 2018,6,1,1,Imports,372,Ireland,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,193,,72186,,,0
HS,2018,201805,May 2018,6,1,1,Imports,372,Ireland,,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,105,,,0
HS,2018,201805,May 2018,6,1,1,Imports,372,Ireland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9569,,19867327,,,0
HS,2018,201808,August 2018,6,1,1,Imports,372,Ireland,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,156,,63507,,,0
HS,2018,201812,December 2018,6,1,2,Exports,372,Ireland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16437,,383325889,,,0
HS,2018,201807,July 2018,6,1,1,Imports,372,Ireland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,57933,,574088,,,0
HS,2018,201807,July 2018,6,1,1,Imports,372,Ireland,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,189,,757039,,,0
HS,2018,201804,April 2018,6,1,1,Imports,372,Ireland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,35363,,16951354,,,0
HS,2018,201804,April 2018,6,1,2,Exports,372,Ireland,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7872,,685403711,,,0
HS,2018,201804,April 2018,6,1,1,Imports,372,Ireland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,31272,,1061001,,,0
HS,2018,201804,April 2018,6,1,2,Exports,372,Ireland,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2130,,495720565,,,0
HS,2018,201804,April 2018,6,1,1,Imports,372,Ireland,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1151,,1483306,,,0
HS,2018,201804,April 2018,6,1,1,Imports,372,Ireland,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,28,,,0
