Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,1,Imports,381,Italy,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1497,,6051448,,,0
HS,2018,201806,June 2018,6,1,1,Imports,381,Italy,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,158,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,620,Portugal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,551,,32655,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3206,,6597824,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1288,,460864,,,0
HS,2018,201803,March 2018,6,1,1,Imports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,73898,,41229454,,,0
HS,2018,201801,January 2018,6,1,1,Imports,381,Italy,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,750,,218090,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,78819,,120550336,,,0
HS,2018,201805,May 2018,6,1,2,Exports,381,Italy,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1354,,408328,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,76,Brazil,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5958,,7465816,,,0
HS,2018,201811,November 2018,6,1,2,Exports,381,Italy,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,987,,,0
HS,2018,201811,November 2018,6,1,2,Exports,381,Italy,,470,Malta,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,718,,,0
HS,2018,201811,November 2018,6,1,2,Exports,381,Italy,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,1793,,,0
HS,2018,201811,November 2018,6,1,2,Exports,381,Italy,,533,Aruba,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,3159,,,0
HS,2018,201811,November 2018,6,1,2,Exports,381,Italy,,191,Croatia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,348,,,0
HS,2018,201811,November 2018,6,1,2,Exports,381,Italy,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1985,,1990451,,,0
HS,2018,201811,November 2018,6,1,1,Imports,381,Italy,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,61720,,23984601,,,0
HS,2018,201802,February 2018,6,1,1,Imports,381,Italy,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,498,,5984784,,,0
HS,2018,201802,February 2018,6,1,1,Imports,381,Italy,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12377,,3787109,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,68,Bolivia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,2820,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,586,Pakistan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,282,,15181,,,0
HS,2018,201806,June 2018,6,1,2,Exports,381,Italy,,604,Peru,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,5672,,,0
HS,2018,201803,March 2018,6,1,2,Exports,381,Italy,,170,Colombia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1469,,472646,,,0
HS,2018,201803,March 2018,6,1,2,Exports,381,Italy,,152,Chile,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1348,,296493,,,0
HS,2018,201803,March 2018,6,1,2,Exports,381,Italy,,32,Argentina,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9384,,1703947,,,0
