Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,July 2018,6,1,2,Exports,392,Japan,,124,Canada,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,14,,12000,,,0
HS,2018,201807,July 2018,6,1,2,Exports,392,Japan,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,430,,125778,,,0
HS,2018,201807,July 2018,6,1,2,Exports,392,Japan,,324,Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,122,,43314,,,0
HS,2018,201803,March 2018,6,1,2,Exports,392,Japan,,484,Mexico,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,783,,232140,,,0
HS,2018,201811,November 2018,6,1,2,Exports,392,Japan,,50,Bangladesh,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,454,,158930,,,0
HS,2018,201803,March 2018,6,1,1,Imports,392,Japan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,10500,,,0
HS,2018,201812,December 2018,6,1,2,Exports,392,Japan,,634,Qatar,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,15235,,,0
HS,2018,201812,December 2018,6,1,2,Exports,392,Japan,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,487,,171756,,,0
HS,2018,201812,December 2018,6,1,2,Exports,392,Japan,,426,Lesotho,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,39,,13964,,,0
HS,2018,201803,March 2018,6,1,1,Imports,392,Japan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,30858,,,0
HS,2018,201803,March 2018,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5895,,2578281,,,0
HS,2018,201810,October 2018,6,1,1,Imports,392,Japan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,65910,,,0
HS,2018,201810,October 2018,6,1,1,Imports,392,Japan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,31567,,,0
HS,2018,201803,March 2018,6,1,1,Imports,392,Japan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,784,,17673043,,,0
HS,2018,201802,February 2018,6,1,2,Exports,392,Japan,,324,Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,123,,42826,,,0
HS,2018,201802,February 2018,6,1,2,Exports,392,Japan,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,316,,91714,,,0
HS,2018,201802,February 2018,6,1,2,Exports,392,Japan,,414,Kuwait,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,10315,,,0
HS,2018,201802,February 2018,6,1,2,Exports,392,Japan,,608,Philippines,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,3568,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,267,,26942596,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,18721,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,363,,321555,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,490,,6414923,,,0
HS,2018,201802,February 2018,6,1,2,Exports,392,Japan,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,2289,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,8063,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,2363,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,31751,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1294,,33827619,,,0
HS,2018,201802,February 2018,6,1,1,Imports,392,Japan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,90,,87645,,,0
HS,2018,201802,February 2018,6,1,2,Exports,392,Japan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1136,,382732,,,0
HS,2018,201802,February 2018,6,1,2,Exports,392,Japan,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,7739,,,0
