Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,109,,37113,,,0
HS,2018,201801,January 2018,6,1,1,Imports,398,Kazakhstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,109,,37113,,,0
HS,2018,201803,March 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19317,,32664559,,,0
HS,2018,201803,March 2018,6,1,1,Imports,398,Kazakhstan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1933,,445780,,,0
HS,2018,201803,March 2018,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7682,,11927179,,,0
HS,2018,201803,March 2018,6,1,1,Imports,398,Kazakhstan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,8870,,20116800,,,0
HS,2018,201803,March 2018,6,1,1,Imports,398,Kazakhstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,809,,154000,,,0
HS,2018,201803,March 2018,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,20800,,,0
HS,2018,201805,May 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,313425,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,20690482,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12950,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16456152,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,141210,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,36306,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,276466,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,585321,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,44232,,,0
HS,2018,201807,July 2018,6,1,1,Imports,398,Kazakhstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,3137846,,,0
HS,2018,201808,August 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,8433988,,,0
HS,2018,201808,August 2018,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,6511251,,,0
HS,2018,201808,August 2018,6,1,1,Imports,398,Kazakhstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,88121,,,0
HS,2018,201809,September 2018,6,1,1,Imports,398,Kazakhstan,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,344000,,,0
HS,2018,201809,September 2018,6,1,1,Imports,398,Kazakhstan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,87040,,,0
HS,2018,201810,October 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,24485,,,0
HS,2018,201810,October 2018,6,1,2,Exports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,24920,,,0
HS,2018,201810,October 2018,6,1,2,Exports,398,Kazakhstan,,496,Mongolia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,24920,,,0
HS,2018,201810,October 2018,6,1,1,Imports,398,Kazakhstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,24485,,,0
HS,2018,201805,May 2018,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3,,87698,,,0
HS,2018,201805,May 2018,6,1,1,Imports,398,Kazakhstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,207784,,,0
HS,2018,201805,May 2018,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,17943,,,0
HS,2018,201802,February 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13746,,3144139,,,0
HS,2018,201802,February 2018,6,1,1,Imports,398,Kazakhstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3984,,2576900,,,0
HS,2018,201802,February 2018,6,1,1,Imports,398,Kazakhstan,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,316,,100851,,,0
HS,2018,201802,February 2018,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9418,,436885,,,0
HS,2018,201802,February 2018,6,1,1,Imports,398,Kazakhstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,28,,29502,,,0
HS,2018,201806,June 2018,6,1,1,Imports,398,Kazakhstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,207995,,,0
HS,2018,201806,June 2018,6,1,1,Imports,398,Kazakhstan,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,3073600,,,0
HS,2018,201806,June 2018,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,260354,,,0
HS,2018,201806,June 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15744574,,,0
HS,2018,201806,June 2018,6,1,1,Imports,398,Kazakhstan,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,37500,,,0
HS,2018,201806,June 2018,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,10561677,,,0
HS,2018,201806,June 2018,6,1,1,Imports,398,Kazakhstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7,,1603448,,,0
HS,2018,201804,April 2018,6,1,1,Imports,398,Kazakhstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1002,,732530,,,0
HS,2018,201804,April 2018,6,1,1,Imports,398,Kazakhstan,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,114,,44758,,,0
HS,2018,201804,April 2018,6,1,1,Imports,398,Kazakhstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,888,,687772,,,0
