Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,22733,,9366853,,,0
HS,2018,201810,October 2018,6,1,2,Exports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,160,,14269,,,0
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7484,,4985794,,,0
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2892,,826383,,,0
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,116,,20059,,,0
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,772,,193138,,,0
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,506,,,0
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,10196,,,0
HS,2018,201810,October 2018,6,1,1,Imports,404,Kenya,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11432,,3330777,,,0
HS,2018,201810,October 2018,6,1,2,Exports,404,Kenya,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,141,,8691,,,0
HS,2018,201810,October 2018,6,1,2,Exports,404,Kenya,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,5579,,,0
HS,2018,201812,December 2018,6,1,1,Imports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3951,,872293,,,0
HS,2018,201812,December 2018,6,1,2,Exports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2453,,107859,,,0
HS,2018,201812,December 2018,6,1,3,Re-exports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,5760,,,0
HS,2018,201812,December 2018,6,1,1,Imports,404,Kenya,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,155,,74720,,,0
HS,2018,201812,December 2018,6,1,2,Exports,404,Kenya,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,610,,,0
HS,2018,201812,December 2018,6,1,3,Re-exports,404,Kenya,,108,Burundi,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,610,,,0
HS,2018,201812,December 2018,6,1,1,Imports,404,Kenya,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2165,,547648,,,0
HS,2018,201812,December 2018,6,1,2,Exports,404,Kenya,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,3160,,,0
HS,2018,201812,December 2018,6,1,3,Re-exports,404,Kenya,,368,Iraq,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,3160,,,0
HS,2018,201812,December 2018,6,1,1,Imports,404,Kenya,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,2533,,,0
HS,2018,201812,December 2018,6,1,1,Imports,404,Kenya,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,59,,39298,,,0
HS,2018,201812,December 2018,6,1,2,Exports,404,Kenya,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,1895,,,0
HS,2018,201812,December 2018,6,1,3,Re-exports,404,Kenya,,688,Serbia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,1895,,,0
HS,2018,201812,December 2018,6,1,1,Imports,404,Kenya,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1369,,158985,,,0
HS,2018,201812,December 2018,6,1,2,Exports,404,Kenya,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2299,,69784,,,0
HS,2018,201812,December 2018,6,1,2,Exports,404,Kenya,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,95,,32315,,,0
HS,2018,201812,December 2018,6,1,2,Exports,404,Kenya,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,96,,,0
HS,2018,201812,December 2018,6,1,3,Re-exports,404,Kenya,,834,United Rep. of Tanzania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,96,,,0
HS,2018,201812,December 2018,6,1,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,49109,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4985,,690597,,,0
HS,2018,201801,January 2018,6,1,2,Exports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3228,,578701,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,23,,5203,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1125,,63963,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15,,267,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3130,,501208,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,269,,29577,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,4230,,,0
HS,2018,201801,January 2018,6,1,1,Imports,404,Kenya,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,403,,86150,,,0
HS,2018,201801,January 2018,6,1,2,Exports,404,Kenya,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3204,,577899,,,0
HS,2018,201801,January 2018,6,1,2,Exports,404,Kenya,,728,South Sudan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,802,,,0
HS,2018,201804,April 2018,6,1,2,Exports,404,Kenya,,800,Uganda,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,5725,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,98,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,20249,,,0
HS,2018,201804,April 2018,6,1,3,Re-exports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,13682,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,34503,,16170827,,,0
HS,2018,201804,April 2018,6,1,2,Exports,404,Kenya,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4425,,789944,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19659,,11134146,,,0
HS,2018,201804,April 2018,6,1,2,Exports,404,Kenya,,231,Ethiopia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,47,,16177,,,0
HS,2018,201804,April 2018,6,1,3,Re-exports,404,Kenya,,231,Ethiopia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,45,,13682,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3541,,932906,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,300,Greece,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,450,,24194,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,168,,13502,,,0
HS,2018,201804,April 2018,6,1,1,Imports,404,Kenya,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10649,,4045731,,,0
HS,2018,201804,April 2018,6,1,2,Exports,404,Kenya,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4353,,767123,,,0
HS,2018,201806,June 2018,6,1,2,Exports,404,Kenya,,706,Somalia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1858,,266588,,,0
