Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201810,October 2018,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3438,,334284,,,0
HS,2018,201810,October 2018,6,1,1,Imports,417,Kyrgyzstan,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1349,,83670,,,0
HS,2018,201810,October 2018,6,1,1,Imports,417,Kyrgyzstan,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2027,,230757,,,0
HS,2018,201810,October 2018,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,62,,19857,,,0
HS,2018,201811,November 2018,6,1,1,Imports,417,Kyrgyzstan,,100,Bulgaria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,183,,28590,,,0
HS,2018,201811,November 2018,6,1,1,Imports,417,Kyrgyzstan,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,265,,190601,,,0
HS,2018,201807,July 2018,6,1,1,Imports,417,Kyrgyzstan,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,444,,96246,,,0
HS,2018,201807,July 2018,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11,,1387,,,0
HS,2018,201811,November 2018,6,1,1,Imports,417,Kyrgyzstan,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,765,,276670,,,0
HS,2018,201805,May 2018,6,1,1,Imports,417,Kyrgyzstan,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,29,,10394,,,0
HS,2018,201805,May 2018,6,1,1,Imports,417,Kyrgyzstan,,643,Russian Federation,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1416,,,0
HS,2018,201805,May 2018,6,1,1,Imports,417,Kyrgyzstan,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,6878,,,0
