Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201809,September 2018,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,205,,190464,,,0
HS,2018,201801,January 2018,6,1,2,Exports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18,,11283,,,0
HS,2018,201804,April 2018,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,301,,481254,,,0
HS,2018,201805,May 2018,6,1,1,Imports,428,Latvia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,55425,,,0
HS,2018,201805,May 2018,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,19,,59952,,,0
HS,2018,201805,May 2018,6,1,1,Imports,428,Latvia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,351,,541404,,,0
HS,2018,201805,May 2018,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,545,,874205,,,0
HS,2018,201805,May 2018,6,1,2,Exports,428,Latvia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,331,,,0
HS,2018,201805,May 2018,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,201,,325093,,,0
HS,2018,201801,January 2018,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,14843,,,0
HS,2018,201801,January 2018,6,1,1,Imports,428,Latvia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,622,,476493,,,0
HS,2018,201801,January 2018,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,117,,292812,,,0
HS,2018,201801,January 2018,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1135,,1197919,,,0
HS,2018,201801,January 2018,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,27,,26126,,,0
HS,2018,201805,May 2018,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,191,,311652,,,0
HS,2018,201805,May 2018,6,1,2,Exports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,13110,,,0
HS,2018,201810,October 2018,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,33,,41577,,,0
HS,2018,201811,November 2018,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,52,,98806,,,0
HS,2018,201811,November 2018,6,1,1,Imports,428,Latvia,,752,Sweden,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,30,,3030,,,0
HS,2018,201811,November 2018,6,1,2,Exports,428,Latvia,,276,Germany,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1750,,,0
HS,2018,201806,June 2018,6,1,1,Imports,428,Latvia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,612,,175174,,,0
HS,2018,201806,June 2018,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1753,,1869140,,,0
HS,2018,201806,June 2018,6,1,1,Imports,428,Latvia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1061,,1559645,,,0
HS,2018,201806,June 2018,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,32233,,,0
HS,2018,201806,June 2018,6,1,1,Imports,428,Latvia,,348,Hungary,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,43,,26909,,,0
HS,2018,201806,June 2018,6,1,1,Imports,428,Latvia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,32,,75178,,,0
HS,2018,201806,June 2018,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,171,,275667,,,0
HS,2018,201806,June 2018,6,1,2,Exports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,171,,275667,,,0
HS,2018,201807,July 2018,6,1,1,Imports,428,Latvia,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,584,,781888,,,0
HS,2018,201807,July 2018,6,1,2,Exports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,21616,,,0
HS,2018,201807,July 2018,6,1,2,Exports,428,Latvia,,233,Estonia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,60,,99960,,,0
HS,2018,201802,February 2018,6,1,1,Imports,428,Latvia,,616,Poland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2045,,708554,,,0
HS,2018,201802,February 2018,6,1,1,Imports,428,Latvia,,440,Lithuania,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,5186,,,0
HS,2018,201802,February 2018,6,1,1,Imports,428,Latvia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,482,,628133,,,0
