Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201807,July 2018,6,1,2,Exports,458,Malaysia,,96,Brunei Darussalam,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2,,2371,,,0
HS,2018,201807,July 2018,6,1,2,Exports,458,Malaysia,,524,Nepal,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,25,,10090,,,0
HS,2018,201808,August 2018,6,1,1,Imports,458,Malaysia,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,11483,,645530,,,0
HS,2018,201807,July 2018,6,1,1,Imports,458,Malaysia,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1750810,,3439739,,,0
HS,2018,201807,July 2018,6,1,1,Imports,458,Malaysia,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9081,,95849,,,0
HS,2018,201807,July 2018,6,1,1,Imports,458,Malaysia,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1070,,661021,,,0
HS,2018,201801,January 2018,6,1,2,Exports,458,Malaysia,,344,"China, Hong Kong SAR",,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1027,,14056,,,0
HS,2018,201803,March 2018,6,1,1,Imports,458,Malaysia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,523,,147807,,,0
HS,2018,201803,March 2018,6,1,1,Imports,458,Malaysia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4783,,4726445,,,0
HS,2018,201803,March 2018,6,1,1,Imports,458,Malaysia,,757,Switzerland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,35990,,,0
HS,2018,201810,October 2018,6,1,1,Imports,458,Malaysia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,312,,29635,,,0
HS,2018,201810,October 2018,6,1,1,Imports,458,Malaysia,,392,Japan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20000,,87891,,,0
HS,2018,201810,October 2018,6,1,1,Imports,458,Malaysia,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18240,,19796,,,0
