Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,January 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,79896,,,0
HS,2018,201801,January 2018,6,1,1,Imports,462,Maldives,,144,Sri Lanka,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,24152,,,0
HS,2018,201801,January 2018,6,1,1,Imports,462,Maldives,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,53078,,,0
HS,2018,201801,January 2018,6,1,1,Imports,462,Maldives,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2666,,,0
HS,2018,201802,February 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,15858,,,0
HS,2018,201802,February 2018,6,1,1,Imports,462,Maldives,,144,Sri Lanka,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,10058,,,0
HS,2018,201802,February 2018,6,1,1,Imports,462,Maldives,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5799,,,0
HS,2018,201803,March 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,41013,,,0
HS,2018,201803,March 2018,6,1,1,Imports,462,Maldives,,144,Sri Lanka,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2956,,,0
HS,2018,201803,March 2018,6,1,1,Imports,462,Maldives,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,38057,,,0
HS,2018,201804,April 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,84270,,,0
HS,2018,201804,April 2018,6,1,1,Imports,462,Maldives,,144,Sri Lanka,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,13089,,,0
HS,2018,201804,April 2018,6,1,1,Imports,462,Maldives,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,5169,,,0
HS,2018,201804,April 2018,6,1,1,Imports,462,Maldives,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,53215,,,0
HS,2018,201804,April 2018,6,1,1,Imports,462,Maldives,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,12797,,,0
HS,2018,201805,May 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,142919,,,0
HS,2018,201805,May 2018,6,1,1,Imports,462,Maldives,,144,Sri Lanka,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,7632,,,0
HS,2018,201805,May 2018,6,1,1,Imports,462,Maldives,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2944,,,0
HS,2018,201805,May 2018,6,1,1,Imports,462,Maldives,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,132343,,,0
HS,2018,201806,June 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,184797,,,0
HS,2018,201806,June 2018,6,1,1,Imports,462,Maldives,,144,Sri Lanka,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,67752,,,0
HS,2018,201806,June 2018,6,1,1,Imports,462,Maldives,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,119,,117045,,,0
HS,2018,201807,July 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,68448,,,0
HS,2018,201807,July 2018,6,1,1,Imports,462,Maldives,,144,Sri Lanka,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4259,,,0
HS,2018,201807,July 2018,6,1,1,Imports,462,Maldives,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,86,,64189,,,0
HS,2018,201808,August 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17,,,0
HS,2018,201808,August 2018,6,1,1,Imports,462,Maldives,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,17,,,0
HS,2018,201809,September 2018,6,1,1,Imports,462,Maldives,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,51831,,,0
