Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201805,May 2018,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,3132,,61041316,,,0
HS,2018,201805,May 2018,6,1,2,Exports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,6,,14136,,,0
HS,2018,201805,May 2018,6,1,2,Exports,480,Mauritius,,174,Comoros,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10,,1016002,,,0
HS,2018,201805,May 2018,6,1,2,Exports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,16,,1030138,,,0
HS,2018,201804,April 2018,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,234,,27924,,,0
HS,2018,201804,April 2018,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,436,,51757,,,0
HS,2018,201804,April 2018,6,1,2,Exports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13,,22330,,,0
HS,2018,201804,April 2018,6,1,1,Imports,480,Mauritius,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4,,472,,,0
HS,2018,201804,April 2018,6,1,1,Imports,480,Mauritius,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,143,,11737,,,0
HS,2018,201809,September 2018,6,1,1,Imports,480,Mauritius,,710,South Africa,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,250,,33739,,,0
HS,2018,201809,September 2018,6,1,1,Imports,480,Mauritius,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12,,601,,,0
HS,2018,201809,September 2018,6,1,1,Imports,480,Mauritius,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,681,,100389,,,0
HS,2018,201809,September 2018,6,1,1,Imports,480,Mauritius,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,958,,138078,,,0
HS,2018,201806,June 2018,6,1,1,Imports,480,Mauritius,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,87,,255831,,,0
