Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201806,June 2018,6,1,1,Imports,496,Mongolia,,40,Austria,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,2860,,,0
HS,2018,201810,October 2018,6,1,1,Imports,496,Mongolia,,398,Kazakhstan,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,26,,27113,,,0
HS,2018,201804,April 2018,6,1,1,Imports,496,Mongolia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,218,,32530,,,0
HS,2018,201807,July 2018,6,1,1,Imports,496,Mongolia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,40,,13375,,,0
HS,2018,201809,September 2018,6,1,1,Imports,496,Mongolia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1278,,364404,,,0
HS,2018,201801,January 2018,6,1,1,Imports,496,Mongolia,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,447,,159440,,,0
HS,2018,201811,November 2018,6,1,1,Imports,496,Mongolia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,5,,6323,,,0
HS,2018,201810,October 2018,6,1,1,Imports,496,Mongolia,,702,Singapore,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,9,,20000,,,0
HS,2018,201809,September 2018,6,1,1,Imports,496,Mongolia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,1401,,,0
HS,2018,201806,June 2018,6,1,1,Imports,496,Mongolia,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,356,,,0
