Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,6,1,1,Imports,104,Myanmar,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,607,,60500,,,0
HS,2018,201802,February 2018,6,1,1,Imports,104,Myanmar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,4252,,481080,,,0
HS,2018,201808,August 2018,6,1,1,Imports,104,Myanmar,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,345,,77605,,,0
HS,2018,201808,August 2018,6,1,1,Imports,104,Myanmar,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2328,,595840,,,0
HS,2018,201807,July 2018,6,1,1,Imports,104,Myanmar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,2318,,474800,,,0
HS,2018,201807,July 2018,6,1,1,Imports,104,Myanmar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,24,,1050,,,0
HS,2018,201807,July 2018,6,1,1,Imports,104,Myanmar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1098,,221342,,,0
HS,2018,201801,January 2018,6,1,1,Imports,104,Myanmar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1890,,150016,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,18585,,1167846,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,204,,58025,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,156,China,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1,,5265,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,360,Indonesia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,418,,32500,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,20,,9950,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,1783,,157629,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,15597,,762909,,,0
HS,2018,201803,March 2018,6,1,1,Imports,104,Myanmar,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,562,,141568,,,0
HS,2018,201808,August 2018,6,1,1,Imports,104,Myanmar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,10144,,401724,,,0
HS,2018,201808,August 2018,6,1,1,Imports,104,Myanmar,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,159,,147120,,,0
HS,2018,201804,April 2018,6,1,1,Imports,104,Myanmar,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,863,,301007,,,0
HS,2018,201804,April 2018,6,1,1,Imports,104,Myanmar,,410,Rep. of Korea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,540,,82300,,,0
HS,2018,201804,April 2018,6,1,1,Imports,104,Myanmar,,764,Thailand,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,254,,73346,,,0
HS,2018,201804,April 2018,6,1,1,Imports,104,Myanmar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,13862,,997364,,,0
HS,2018,201804,April 2018,6,1,1,Imports,104,Myanmar,,699,India,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,166,,7920,,,0
HS,2018,201804,April 2018,6,1,1,Imports,104,Myanmar,,251,France,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,12039,,532792,,,0
HS,2018,201805,May 2018,6,1,1,Imports,104,Myanmar,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,7423,,1313099,,,0
