Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,2,Exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1203,,,0
HS,2018,201802,February 2018,6,1,3,Re-exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,15,,,0
HS,2018,201802,February 2018,6,1,2,Exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,33,,,0
HS,2018,201802,February 2018,6,1,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,15070,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9728,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,98530,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,405724,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,218384,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2075394,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,11018,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,466938,,,0
HS,2018,201805,May 2018,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3285716,,,0
HS,2018,201806,June 2018,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2770253,,,0
HS,2018,201806,June 2018,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3593233,,,0
HS,2018,201804,April 2018,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1001,,,0
HS,2018,201804,April 2018,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4929143,,,0
HS,2018,201801,January 2018,6,1,2,Exports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,757679,,,0
HS,2018,201801,January 2018,6,1,2,Exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,765818,,,0
HS,2018,201803,March 2018,6,1,1,Imports,554,New Zealand,,724,Spain,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,16715,,,0
HS,2018,201810,October 2018,6,1,3,Re-exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,7,,,0
HS,2018,201810,October 2018,6,1,2,Exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,14,,,0
HS,2018,201810,October 2018,6,1,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,7,,,0
HS,2018,201810,October 2018,6,1,2,Exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,14,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,187287,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,451670,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,381,Italy,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,732094,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,9442,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,287623,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,815401,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4110357,,,0
HS,2018,201810,October 2018,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1626840,,,0
HS,2018,201801,January 2018,6,1,1,Imports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,296169,,,0
HS,2018,201801,January 2018,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,2683979,,,0
HS,2018,201801,January 2018,6,1,1,Imports,554,New Zealand,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3720567,,,0
HS,2018,201801,January 2018,6,1,1,Imports,554,New Zealand,,826,United Kingdom,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,20300,,,0
HS,2018,201801,January 2018,6,1,1,Imports,554,New Zealand,,842,United States of America,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1610771,,,0
HS,2018,201801,January 2018,6,1,1,Imports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,8331787,,,0
HS,2018,201804,April 2018,6,1,1,Imports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,360052,,,0
HS,2018,201804,April 2018,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,3242004,,,0
HS,2018,201804,April 2018,6,1,1,Imports,554,New Zealand,,528,Netherlands,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,1326086,,,0
HS,2018,201802,February 2018,6,1,3,Re-exports,554,New Zealand,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,15056,,,0
HS,2018,201802,February 2018,6,1,2,Exports,554,New Zealand,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,15056,,,0
HS,2018,201806,June 2018,6,1,1,Imports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,4832,,,0
HS,2018,201806,June 2018,6,1,1,Imports,554,New Zealand,,56,Belgium,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,437036,,,0
HS,2018,201806,June 2018,6,1,1,Imports,554,New Zealand,,208,Denmark,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,141548,,,0
HS,2018,201806,June 2018,6,1,1,Imports,554,New Zealand,,372,Ireland,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,239564,,,0
HS,2018,201803,March 2018,6,1,3,Re-exports,554,New Zealand,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,808,,,0
HS,2018,201803,March 2018,6,1,2,Exports,554,New Zealand,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,808,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,554,New Zealand,,548,Vanuatu,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,319,,,0
HS,2018,201803,March 2018,6,1,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,808,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,554,New Zealand,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,193,,,0
HS,2018,201805,May 2018,6,1,2,Exports,554,New Zealand,,548,Vanuatu,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,319,,,0
HS,2018,201805,May 2018,6,1,2,Exports,554,New Zealand,,598,Papua New Guinea,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,193,,,0
HS,2018,201805,May 2018,6,1,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,512,,,0
HS,2018,201804,April 2018,6,1,3,Re-exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1531,,,0
HS,2018,201804,April 2018,6,1,2,Exports,554,New Zealand,,570,Niue,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,1531,,,0
HS,2018,201811,November 2018,6,1,2,Exports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,54508,,,0
HS,2018,201811,November 2018,6,1,3,Re-exports,554,New Zealand,,36,Australia,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,54508,,,0
HS,2018,201811,November 2018,6,1,3,Re-exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,0,,54508,,,0
HS,2018,201811,November 2018,6,1,2,Exports,554,New Zealand,,242,Fiji,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,19,,,0
HS,2018,201811,November 2018,6,1,2,Exports,554,New Zealand,,0,World,,,,,,,,,300220,Vaccines; for human medicine,,,,,,,,,54527,,,0
